Time,E1,I1,E2,I2,E3,I3,AI8,Pm,Torque,Category
0,0.9,-461.7,457.4,-0.49,0.1,0.27,1471.6,48.6,1,Normal
0.1,20.9,-473.5,446.5,-0.5,0.1,0.26,1474.2,49.1,1,Normal
0.2,40.9,-477.4,438.2,-0.49,0.14,0.24,1476.8,49.4,1,Normal
0.29,58.7,-489.6,429.9,-0.48,0.12,0.25,1476.8,48.7,1,Normal
0.39,76.1,-500,419,-0.49,0.14,0.23,1472.9,48.6,1,Normal
0.49,94.4,-505.7,412.4,-0.48,0.16,0.22,1471.6,48.6,1,Normal
0.59,113.1,-517.4,397.6,-0.47,0.18,0.23,1474.2,48.9,1,Normal
0.68,130.9,-523.9,389.7,-0.45,0.2,0.22,1475.5,48.7,1,Normal
0.78,151.4,-532.2,381,-0.47,0.22,0.2,1472.9,48.6,1,Normal
0.88,166.6,-537.4,370.1,-0.45,0.23,0.2,1472.9,48.6,1,Normal
0.98,181,-542.6,362.2,-0.46,0.25,0.18,1474.2,48.9,1,Normal
1.07,200.5,-548.7,348.7,-0.45,0.27,0.17,1474.2,48.9,1,Normal
1.17,214,-553.5,334.8,-0.44,0.29,0.15,1474.2,48.7,1,Normal
1.27,233.2,-550.4,321.2,-0.43,0.31,0.14,1472.9,48.4,1,Normal
1.37,244.5,-553.5,306.8,-0.42,0.33,0.14,1472.9,48.6,1,Normal
1.47,258.8,-552.6,292,-0.4,0.34,0.14,1474.2,48.7,1,Normal
1.56,271.5,-550.4,277.1,-0.4,0.37,0.13,1474.2,48.7,1,Normal
1.66,281.5,-551.3,267.1,-0.4,0.38,0.12,1474.2,48.9,1,Normal
1.76,296.2,-551.7,255.3,-0.39,0.39,0.1,1472.9,48.6,1,Normal
1.86,309.7,-552.6,242.7,-0.4,0.39,0.09,1474.2,48.7,1,Normal
1.95,319.7,-549.1,226.5,-0.37,0.41,0.07,1472.9,48.6,1,Normal
2.05,332.8,-547.4,209.5,-0.37,0.39,0.06,1472.9,48.8,1,Normal
2.15,341.9,-541.7,196.4,-0.4,0.42,0.02,1474.2,48.2,1,Normal
2.25,355.8,-537,176.3,-0.39,0.41,0,1475.5,48.5,1,Normal
2.34,368,-530.4,163.2,-0.37,0.41,-0.02,1474.2,47.9,1,Normal
2.44,377.6,-528.7,144.5,-0.38,0.42,-0.02,1471.6,47.9,1,Normal
2.54,389.8,-518.7,128.3,-0.38,0.42,-0.03,1472.9,48.1,1,Normal
2.64,399.3,-514.8,113.5,-0.37,0.42,-0.04,1475.5,48.5,1,Normal
2.73,408.5,-505.7,98.6,-0.37,0.43,-0.06,1475.5,48,1,Normal
2.83,415.9,-497,79.9,-0.35,0.41,-0.08,1472.9,46.5,1,Normal
2.93,426.8,-493,65.9,-0.35,0.42,-0.09,1467.8,47.7,1,Normal
3.03,435,-482.2,45.4,-0.34,0.42,-0.11,1474.2,48.4,1,Normal
3.13,443.3,-474.8,31,-0.35,0.42,-0.12,1475.5,48.2,1,Normal
3.22,454.2,-470,10,-0.34,0.42,-0.14,1474.2,47.9,1,Normal
3.32,463.3,-458.7,-9.2,-0.31,0.42,-0.15,1472.9,47.9,1,Normal
3.42,473.3,-447.4,-24.4,-0.32,0.43,-0.17,1471.6,48.1,1,Normal
3.52,480.3,-439.6,-43.2,-0.3,0.42,-0.17,1474.2,48.2,1,Normal
3.61,488.5,-430,-60.2,-0.29,0.42,-0.2,1475.5,48.2,1,Normal
3.71,499.8,-421.3,-77.7,-0.29,0.41,-0.21,1472.9,47.9,1,Normal
3.81,509,-411.7,-93.8,-0.29,0.42,-0.23,1471.6,48.1,1,Normal
3.91,519.4,-403,-115.2,-0.28,0.39,-0.24,1474.2,48.4,1,Normal
4,525.5,-393.9,-132.7,-0.27,0.39,-0.26,1472.9,47.9,1,Normal
4.1,531.2,-382.2,-153.6,-0.25,0.39,-0.27,1472.9,47.9,1,Normal
4.2,542,-372.6,-167.6,-0.25,0.38,-0.29,1472.9,48.1,1,Normal
4.3,544.6,-363.5,-182.4,-0.25,0.38,-0.32,1475.5,48.7,1,Normal
4.4,549.9,-353.9,-194.2,-0.23,0.39,-0.34,1475.5,48,1,Normal
4.49,549.9,-343,-210.8,-0.25,0.37,-0.35,1471.6,47.6,1,Normal
4.59,557.7,-331.7,-223.9,-0.22,0.36,-0.38,1471.6,48.1,1,Normal
4.69,553.8,-316.1,-237.9,-0.22,0.36,-0.39,1474.2,48.4,1,Normal
4.79,555.5,-299.1,-250.5,-0.22,0.34,-0.4,1475.5,48.5,1,Normal
4.88,553.8,-283.5,-268.8,-0.2,0.34,-0.41,1472.9,47.9,1,Normal
4.98,552.5,-267.8,-283.7,-0.19,0.32,-0.45,1471.6,47.9,1,Normal
5.08,550.7,-253.5,-295.5,-0.17,0.34,-0.45,1472.9,48.1,1,Normal
5.18,551.2,-240.9,-304.6,-0.17,0.33,-0.45,1475.5,48.5,1,Normal
5.27,547.3,-228.7,-319.9,-0.15,0.32,-0.46,1474.2,48.2,1,Normal
5.37,547.3,-217.4,-333.4,-0.13,0.33,-0.46,1472.9,47.9,1,Normal
5.47,545.5,-200.9,-342.6,-0.1,0.34,-0.46,1472.9,48.1,1,Normal
5.57,542,-181.7,-357.9,-0.1,0.33,-0.47,1474.2,48.4,1,Normal
5.66,537.2,-166.5,-370.1,-0.06,0.32,-0.47,1474.2,48.2,1,Normal
5.76,531.2,-149.6,-384.9,-0.07,0.32,-0.49,1471.6,47.9,1,Normal
5.86,524.6,-131.7,-388.4,-0.04,0.31,-0.48,1471.6,48.1,1,Normal
