Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
0.000		5.2		-0.857		-2.9		-0.0007		79.1		-4.5						
0.098		15.2		-0.852		-2.9		0.0023		79.4		-13.0						
0.195		26.1		-0.840		1.0		0.0008		79.5		-21.9						
0.293		35.7		-0.817		-0.3		0.0023		79.6		-29.1						
0.391		43.9		-0.810		-5.4		0.0008		79.0		-35.6						
0.488		54.8		-0.777		-1.6		-0.0007		79.2		-42.6						
0.586		62.6		-0.775		-1.6		0.0008		79.3		-48.5						
0.684		76.5		-0.760		-2.9		-0.0007		79.1		-58.2						
0.781		83.5		-0.733		-2.9		0.0008		79.2		-61.2						
0.879		93.5		-0.716		-1.6		-0.0007		79.2		-66.9						
0.977		101.3		-0.697		-2.9		-0.0007		79.1		-70.6						
1.074		109.1		-0.687		-2.9		0.0008		79.2		-74.9						
1.172		115.7		-0.666		-0.3		0.0008		79.4		-77.0						
1.270		122.6		-0.636		-0.3		-0.0023		79.1		-78.0						
1.367		134.3		-0.622		-2.9		-0.0023		78.9		-83.5						
1.465		140.9		-0.605		-5.4		0.0008		79.0		-85.2						
1.563		149.1		-0.573		-0.3		0.0008		79.4		-85.5						
1.660		151.7		-0.563		-0.3		0.0008		79.4		-85.4						
1.758		160.0		-0.529		-1.6		-0.0007		79.2		-84.7						
1.855		166.5		-0.512		-1.6		0.0008		79.3		-85.3						
1.953		173.5		-0.489		-1.6		-0.0023		79.0		-84.9						
2.051		174.3		-0.460		-4.1		-0.0023		78.8		-80.2						
2.148		183.0		-0.437		-2.9		-0.0007		79.1		-79.9						
2.246		187.8		-0.414		1.0		0.0008		79.5		-77.7						
2.344		192.2		-0.384		-1.6		0.0008		79.3		-73.8						
2.441		200.0		-0.363		-5.4		-0.0007		78.9		-72.7						
2.539		205.7		-0.336		-1.6		-0.0007		79.2		-69.1						
2.637		208.7		-0.313		-4.1		-0.0007		79.0		-65.3						
2.734		214.8		-0.281		-1.6		-0.0007		79.2		-60.4						
2.832		220.0		-0.254		-0.3		0.0008		79.4		-55.9						
2.930		227.0		-0.218		-2.9		-0.0023		78.9		-49.6						
3.027		230.9		-0.191		-1.6		-0.0023		79.0		-44.1						
3.125		235.2		-0.155		-2.9		0.0008		79.2		-36.5						
3.223		244.3		-0.124		-0.3		0.0023		79.6		-30.3						
3.320		248.3		-0.101		-0.3		-0.0007		79.3		-25.0						
3.418		253.0		-0.065		-4.1		-0.0053		78.5		-16.5						
3.516		259.1		-0.034		-4.1		0.0008		79.1		-8.7						
3.613		263.9		-0.015		1.0		0.0039		79.8		-3.9						
3.711		270.0		0.027		-4.1		0.0008		79.1		7.4						
3.809		275.2		0.069		-1.6		0.0039		79.6		19.1						
3.906		276.5		0.101		1.0		0.0023		79.7		27.9						
4.004		279.1		0.132		-0.3		0.0023		79.6		36.9						
4.102		284.8		0.143		-4.1		0.0008		79.1		40.7						
4.199		288.7		0.199		-2.9		0.0039		79.5		57.6						
4.297		289.1		0.208		2.2		0.0054		80.1		60.1						
4.395		289.6		0.246		1.0		0.0039		79.8		71.1						
4.492		295.2		0.269		-2.9		0.0023		79.4		79.3						
4.590		295.2		0.294		1.0		0.0039		79.8		86.8						
4.688		294.3		0.344		-0.3		0.0008		79.4		101.4						
4.785		291.3		0.370		1.0		0.0039		79.8		107.7						
4.883		290.4		0.388		1.0		0.0039		79.8		112.8						
4.980		293.5		0.409		2.2		0.0039		80.0		120.2						
5.078		292.2		0.435		2.2		0.0023		79.8		127.0						
5.176		290.4		0.460		-0.3		0.0023		79.6		133.6						
5.273		290.9		0.489		2.2		0.0054		80.1		142.3						
5.371		287.8		0.508		3.5		0.0023		79.9		146.3						
5.469		285.2		0.538		-1.6		-0.0007		79.2		153.3						
5.566		284.8		0.559		-2.9		0.0039		79.5		159.1						
5.664		278.7		0.588		4.8		0.0085		80.6		163.9						
5.762		277.4		0.609		2.2		0.0039		80.0		168.9						
5.859		275.2		0.624		-0.3		0.0023		79.6		171.6						
5.957		272.2		0.653		2.2		0.0054		80.1		177.7						
6.055		267.8		0.668		2.2		0.0023		79.8		178.8						
6.152		266.1		0.680		1.0		0.0023		79.7		181.0						
6.250		257.4		0.703		1.0		0.0023		79.7		181.1						
6.348		251.3		0.737		3.5		0.0069		80.4		185.2						
6.445		247.0		0.739		2.2		0.0023		79.8		182.5						
6.543		244.8		0.762		1.0		0.0039		79.8		186.6						
6.641		237.8		0.787		2.2		0.0023		79.8		187.3						
6.738		236.5		0.802		1.0		0.0039		79.8		189.7						
6.836		230.4		0.815		1.0		0.0023		79.7		187.7						
6.934		223.9		0.821		1.0		0.0039		79.8		183.8						
7.031		222.6		0.852		2.2		0.0023		79.8		189.8						
7.129		214.3		0.855		-0.3		0.0008		79.4		183.2						
7.227		210.9		0.882		1.0		0.0023		79.7		186.0						
7.324		204.3		0.878		2.2		0.0054		80.1		179.4						
7.422		200.4		0.894		3.5		0.0039		80.1		179.3						
7.520		196.5		0.913		-0.3		0.0008		79.4		179.5						
7.617		190.4		0.922		-1.6		0.0054		79.8		175.5						
7.715		184.3		0.928		4.8		0.0100		80.8		171.1						
7.813		177.8		0.947		-4.1		0.0023		79.3		168.4						
7.910		174.3		0.953		1.0		0.0039		79.8		166.2						
8.008		165.2		0.966		2.2		0.0054		80.1		159.6						
8.105		158.3		0.970		2.2		0.0039		80.0		153.5						
8.203		151.3		0.972		1.0		0.0023		79.7		147.1						
8.301		143.0		0.983		-0.3		0.0023		79.6		140.6						
8.398		137.4		0.978		2.2		0.0054		80.1		134.4						
8.496		129.1		0.987		3.5		0.0023		79.9		127.4						
8.594		120.0		0.981		1.0		0.0023		79.7		117.7						
8.691		113.0		0.991		1.0		0.0039		79.8		112.0						
8.789		103.0		0.981		-0.3		0.0008		79.4		101.0						
8.887		91.7		0.985		1.0		0.0008		79.5		90.3						
8.984		83.9		0.983		1.0		0.0039		79.8		82.5						
9.082		73.9		0.976		2.2		0.0023		79.8		72.2						
9.180		67.0		0.966		1.0		-0.0007		79.4		64.7						
9.277		61.7		0.957		-5.4		0.0023		79.2		59.1						
9.375		53.5		0.957		-4.1		0.0039		79.4		51.2						
9.473		47.0		0.943		-2.9		0.0023		79.4		44.3						
9.570		35.7		0.934		-5.4		-0.0007		78.9		33.3						
9.668		22.2		0.918		-8.0		0.0008		78.8		20.3						
9.766		16.5		0.907		-1.6		0.0085		80.1		15.0						
9.863		5.7		0.903		3.5		0.0023		79.9		5.1						
9.961		-5.2		0.880		-5.4		0.0008		79.0		-4.6						
10.059		-15.2		0.859		-2.9		0.0039		79.5		-13.1						
