Time ,E1,I1,AI8,AI7,Pm,P1
0,7.8,0.017,38.9,0.0091,108.2,0.1
0.098,23.9,-0.004,40.2,0.0106,108.5,-0.1
0.195,40.9,0.002,41.4,0.0106,108.6,0.1
0.293,57.8,0.004,38.9,0.006,107.9,0.2
0.391,71.3,0.002,36.3,0.0106,108.1,0.1
0.488,89.1,-0.006,42.7,0.0167,109.4,-0.6
0.586,101.7,-0.002,32.5,0.0091,107.5,-0.2
0.684,117.8,0.004,40.2,0.0091,108.3,0.5
0.781,130,0,41.4,0.0106,108.6,0
0.879,146.1,0.01,40.2,0.0075,108.2,1.5
0.977,158.3,0,38.9,0.0106,108.4,0
1.074,170,0.013,38.9,0.0121,108.5,2.1
1.172,180,0.004,41.4,0.0106,108.6,0.8
1.27,194.3,-0.002,40.2,0.0091,108.3,-0.4
1.367,205.7,0,37.6,0.0106,108.2,0
1.465,218.3,-0.006,41.4,0.0091,108.5,-1.4
1.563,228.7,0,40.2,0.0075,108.2,0
1.66,240.4,0.004,38.9,0.0091,108.2,1
1.758,250.4,0.002,38.9,0.0106,108.4,0.5
1.855,260.4,-0.002,40.2,0.0075,108.2,-0.5
1.953,269.6,0,40.2,0.0075,108.2,0
2.051,275.7,0.006,41.4,0.0106,108.6,1.7
2.148,287.8,-0.002,40.2,0.0106,108.5,-0.6
2.246,294.8,0.006,41.4,0.0091,108.5,1.9
2.344,303,0.004,40.2,0.006,108,1.3
2.441,311.7,0.002,36.3,0.0091,107.9,0.7
2.539,323.5,-0.004,42.7,0.0167,109.4,-1.4
2.637,330.9,0.002,42.7,0.0091,108.6,0.7
2.734,340.9,-0.002,38.9,0.0091,108.2,-0.7
2.832,350,-0.008,41.4,0.0121,108.8,-2.9
2.93,357.4,0.006,41.4,0.0091,108.5,2.3
3.027,371.7,0.008,40.2,0.0091,108.3,3.1
3.125,376.1,-0.002,40.2,0.0106,108.5,-0.8
3.223,384.8,-0.01,41.4,0.0137,109,-4
3.32,395.2,-0.006,40.2,0.0091,108.3,-2.5
3.418,400.9,-0.004,38.9,0.0091,108.2,-1.7
3.516,409.6,0.002,41.4,0.0106,108.6,0.9
3.613,417.8,0.006,40.2,0.0091,108.3,2.6
3.711,424.8,-0.004,38.9,0.0075,108,-1.8
3.809,430,-0.006,22.3,0.0106,106.6,-2.7
3.906,443,-0.004,22.3,0.0091,106.5,-1.9
4.004,446.1,0.002,22.3,0.0091,106.5,0.9
4.102,454.3,0.002,21,0.0091,106.3,1
4.199,461.7,0.008,22.3,0.0121,106.8,3.9
4.297,458.7,0.002,23.6,0.0091,106.6,1
4.395,462.2,-0.002,22.3,0.006,106.1,-1
4.492,461.7,-0.008,18.5,0.0075,105.9,-3.9
4.59,464.8,-0.004,23.6,0.0183,107.6,-2
4.688,462.6,-0.004,19.7,0.0106,106.4,-1.9
4.785,463.5,0,22.3,0.0106,106.6,0
4.883,464.8,-0.008,22.3,0.0091,106.5,-3.9
4.98,466.1,0.006,23.6,0.0091,106.6,2.9
5.078,463,-0.013,22.3,0.0075,106.3,-5.8
5.176,461.3,-0.008,22.3,0.0075,106.3,-3.9
5.273,458.3,0.004,24.9,0.0106,106.9,1.9
5.371,457,0.002,26.1,0.0091,106.9,1
5.469,454.3,0.002,22.3,0.0091,106.5,1
5.566,450,-0.008,23.6,0.0091,106.6,-3.8
5.664,445.2,0.006,22.3,0.0075,106.3,2.8
5.762,440.4,0,23.6,0.0075,106.4,0
5.859,433.9,0.002,22.3,0.0091,106.5,0.9
5.957,428.7,0.008,23.6,0.0075,106.4,3.6
6.055,421.7,0.006,22.3,0.006,106.1,2.7
6.152,418.7,-0.002,21,0.0075,106.2,-0.9
6.25,410.9,0.004,23.6,0.0091,106.6,1.7
6.348,400.9,0.01,24.9,0.0091,106.7,4.2
6.445,397.4,-0.002,22.3,0.0075,106.3,-0.8
6.543,384.3,-0.002,19.7,0.0091,106.2,-0.8
6.641,383,-0.002,26.1,0.0152,107.5,-0.8
6.738,373.9,0.008,22.3,0.0091,106.5,3.1
6.836,364.3,0.004,19.7,0.0091,106.2,1.5
6.934,357.8,0.006,23.6,0.0091,106.6,2.3
