Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
0.000		8.7		-2.373		-0.3		-0.0046		14.6		-20.6						
0.098		29.6		-2.348		-0.3		-0.0046		14.6		-69.4						
0.195		42.6		-2.282		-1.5		-0.0046		14.3		-97.3						
0.293		61.3		-2.257		-0.3		-0.0031		14.6		-138.4						
0.391		77.8		-2.205		2.3		-0.0046		15.3		-171.6						
0.488		95.7		-2.146		-0.3		-0.0046		14.6		-205.3						
0.586		109.6		-2.106		-0.3		-0.0046		14.6		-230.7						
0.684		124.3		-2.049		1.0		-0.0031		15.0		-254.8						
0.781		141.7		-1.995		2.3		-0.0046		15.3		-282.7						
0.879		157.0		-1.940		-2.8		-0.0107		13.9		-304.5						
0.977		170.9		-1.879		-1.5		-0.0046		14.3		-321.1						
1.074		180.0		-1.820		2.3		-0.0046		15.3		-327.7						
1.172		194.8		-1.753		1.0		-0.0061		15.0		-341.5						
1.270		205.7		-1.705		-1.5		-0.0061		14.3		-350.6						
1.367		218.7		-1.646		1.0		-0.0046		15.0		-360.0						
1.465		230.4		-1.583		2.3		-0.0031		15.3		-364.8						
1.563		242.6		-1.539		2.3		-0.0061		15.3		-373.4						
1.660		254.3		-1.482		-0.3		-0.0092		14.6		-377.0						
1.758		265.2		-1.424		-0.3		-0.0031		14.6		-377.6						
1.855		276.5		-1.354		1.0		-0.0399		14.8		-374.5						
1.953		287.8		-1.302		-0.3		-0.0061		14.6		-374.7						
2.051		296.1		-1.226		2.3		-0.0046		15.3		-363.1						
2.148		308.3		-1.182		1.0		-0.0046		15.0		-364.4						
2.246		318.3		-1.107		1.0		-0.0061		15.0		-352.2						
2.344		322.6		-1.058		-0.3		-0.0061		14.6		-341.4						
2.441		335.7		-0.972		2.3		-0.0061		15.3		-326.3						
2.539		344.3		-0.894		-0.3		-0.0077		14.6		-308.0						
2.637		353.9		-0.813		-1.5		-0.0031		14.3		-287.6						
2.734		364.8		-0.748		2.3		-0.0046		15.3		-272.7						
2.832		369.6		-0.680		4.8		-0.0061		16.0		-251.4						
2.930		376.1		-0.603		-1.5		-0.0123		14.2		-226.6						
3.027		390.4		-0.527		1.0		-0.0061		15.0		-205.8						
3.125		396.1		-0.428		2.3		-0.0046		15.3		-169.7						
3.223		407.0		-0.355		2.3		-0.0077		15.3		-144.4						
3.320		416.5		-0.269		-0.3		-0.0077		14.6		-111.9						
3.418		424.8		-0.191		1.0		-0.0077		15.0		-81.2						
3.516		436.1		-0.101		2.3		-0.0046		15.3		-44.0						
3.613		445.2		-0.019		4.8		-0.0077		16.0		-8.4						
3.711		446.1		0.076		-0.3		-0.0077		14.6		33.7						
3.809		455.2		0.170		-1.5		-0.0015		14.3		77.4						
3.906		462.6		0.237		-0.3		-0.0537		14.4		109.8						
4.004		472.6		0.321		-0.3		-0.0031		14.6		151.8						
4.102		476.5		0.405		1.0		-0.0031		15.0		193.1						
4.199		483.0		0.502		2.3		-0.0031		15.3		242.4						
4.297		487.8		0.571		1.0		-0.0046		15.0		278.6						
4.395		490.0		0.649		2.3		-0.0015		15.3		317.9						
4.492		490.9		0.758		3.6		-0.0031		15.7		372.1						
4.590		493.9		0.829		1.0		-0.0046		15.0		409.6						
4.688		488.3		0.909		-1.5		-0.0031		14.3		443.9						
4.785		490.0		0.981		3.6		-0.0015		15.7		480.5						
4.883		493.9		1.056		4.8		-0.0031		16.0		521.7						
4.980		495.7		1.115		-0.3		-0.0092		14.6		552.6						
5.078		489.6		1.188		1.0		-0.0031		15.0		581.8						
5.176		491.7		1.243		2.3		-0.0031		15.3		611.3						
5.273		487.4		1.314		2.3		-0.0046		15.3		640.6						
5.371		484.3		1.350		2.3		-0.0061		15.3		653.9						
5.469		480.0		1.432		-0.3		-0.0046		14.6		687.4						
5.566		480.4		1.491		3.6		-0.0015		15.7		716.2						
5.664		475.7		1.556		4.8		-0.0046		16.0		740.1						
5.762		470.9		1.613		1.0		-0.0107		14.9		759.3						
5.859		465.7		1.682		-4.1		-0.0169		13.5		783.2						
5.957		457.4		1.741		-10.5		-0.1318		11.3		796.2						
6.055		449.6		1.791		2.3		-0.0015		15.3		805.2						
6.152		443.9		1.844		3.6		-0.0031		15.7		818.4						
6.250		437.0		1.902		1.0		-0.0046		15.0		831.2						
6.348		431.3		1.957		2.3		-0.0031		15.3		844.0						
6.445		419.6		1.995		1.0		0.0015		15.0		836.9						
6.543		413.9		2.060		4.8		0.0000		16.0		852.6						
6.641		407.4		2.098		2.3		-0.0015		15.3		854.6						
6.738		400.0		2.144		1.0		0.0000		15.0		857.5						
6.836		389.6		2.173		2.3		0.0046		15.4		846.6						
6.934		380.0		2.236		4.8		0.0015		16.0		849.8						
7.031		373.0		2.278		-0.3		-0.0046		14.6		849.9						
7.129		363.5		2.303		2.3		0.0015		15.3		837.2						
7.227		357.8		2.329		1.0		0.0015		15.0		833.2						
7.324		348.3		2.387		3.6		-0.0015		15.7		831.4						
7.422		340.4		2.404		2.3		-0.0015		15.3		818.5						
7.520		328.7		2.431		2.3		0.0000		15.3		799.2						
7.617		323.0		2.469		2.3		0.0015		15.3		797.7						
7.715		313.9		2.507		3.6		-0.0015		15.7		787.0						
7.813		303.9		2.520		1.0		-0.0061		15.0		765.8						
7.910		294.8		2.560		-2.8		-0.0107		13.9		754.5						
8.008		284.8		2.581		-6.7		-0.0981		12.5		734.9						
8.105		272.6		2.599		2.3		0.0015		15.3		708.6						
8.203		262.6		2.627		4.8		0.0000		16.0		689.8						
8.301		251.3		2.618		2.3		0.0000		15.3		658.0						
8.398		236.1		2.654		2.3		0.0000		15.3		626.6						
8.496		224.3		2.665		2.3		0.0015		15.3		597.8						
8.594		211.7		2.677		3.6		0.0015		15.7		566.9						
8.691		196.1		2.658		1.0		0.0000		15.0		521.3						
8.789		180.0		2.665		-0.3		0.0000		14.7		479.6						
8.887		167.0		2.665		2.3		0.0031		15.4		444.9						
8.984		152.6		2.665		4.8		0.0000		16.0		406.6						
9.082		137.4		2.633		1.0		-0.0031		15.0		361.8						
9.180		121.7		2.589		1.0		0.0000		15.0		315.2						
9.277		110.0		2.591		3.6		0.0015		15.7		285.0						
9.375		96.5		2.570		1.0		0.0000		15.0		248.1						
9.473		87.8		2.551		1.0		-0.0015		15.0		224.1						
9.570		69.6		2.522		1.0		0.0000		15.0		175.4						
9.668		53.0		2.497		2.3		0.0031		15.4		132.4						
9.766		37.4		2.473		3.6		0.0000		15.7		92.5						
9.863		17.4		2.452		-0.3		-0.0031		14.6		42.7						
9.961		4.8		2.417		-2.8		0.0000		14.0		11.6						
10.059		-13.0		2.354		1.0		-0.0107		14.9		-30.7						
