Time ,E1,I1,AI8,AI7,Pm,P1
0,10.9,-0.176,-6.2,-0.0031,164.2,-1.9
0.098,30.4,-0.162,0.2,-0.0031,163.5,-4.9
0.195,54.3,-0.145,-4.9,-0.0031,164.1,-7.9
0.293,74.3,-0.128,-6.2,-0.0031,164.2,-9.5
0.391,90.9,-0.101,-4.9,-0.0031,164.1,-9.2
0.488,108.3,-0.076,-6.2,-0.0047,164.4,-8.2
0.586,128.7,-0.044,-6.2,-0.0047,164.4,-5.7
0.684,148.7,-0.027,-4.9,-0.0016,163.8,-4.1
0.781,163,-0.004,-4.9,0.0015,163.4,-0.7
0.879,180,0.015,-4.9,-0.0001,163.6,2.6
0.977,195.7,0.031,-6.2,-0.0016,164,6.2
1.074,207.8,0.044,-6.2,-0.0001,163.7,9.2
1.172,224.3,0.069,-3.7,0.003,163,15.5
1.27,236.1,0.09,-3.7,-0.0001,163.5,21.3
1.367,250.9,0.115,-3.7,-0.0031,163.9,29
1.465,267.4,0.134,-4.9,-0.0001,163.6,35.9
1.563,280.9,0.164,-6.2,0.0015,163.5,46
1.66,288.7,0.172,-6.2,-0.0001,163.7,49.7
1.758,303.5,0.206,-4.9,0.003,163.1,62.4
1.855,317.4,0.233,-3.7,-0.0016,163.7,74
1.953,328.7,0.246,-6.2,-0.0016,164,80.8
2.051,338.7,0.254,-6.2,-0.0001,163.7,86.1
2.148,347,0.288,0.2,-0.0001,163,99.8
2.246,359.1,0.29,-4.9,0.0015,163.4,104.1
2.344,371.3,0.309,-6.2,-0.0001,163.7,114.6
2.441,383.9,0.33,-3.7,0.0015,163.2,126.6
2.539,393,0.334,-2.4,0.003,162.9,131.2
2.637,402.2,0.365,-3.7,-0.0001,163.5,146.9
2.734,412.2,0.374,-3.7,0.0015,163.2,154.1
2.832,425.7,0.378,-4.9,0.0015,163.4,160.9
2.93,431.7,0.393,-3.7,0.0015,163.2,169.5
3.027,443.5,0.416,-4.9,-0.0001,163.6,184.4
3.125,451.7,0.428,-4.9,0.0015,163.4,193.5
3.223,466.5,0.428,-2.4,0.0045,162.6,199.8
3.32,477,0.445,-2.4,0.0015,163.1,212.3
3.418,484.8,0.458,-3.7,-0.0077,164.6,221.9
3.516,496.5,0.458,-3.7,0.003,163,227.3
3.613,505.2,0.466,-4.9,0.003,163.1,235.5
3.711,511.7,0.481,-3.7,0.003,163,246.1
3.809,520.4,0.498,-4.9,0.0045,162.9,259
3.906,529.6,0.5,-2.4,0.0015,163.1,264.6
4.004,537.8,0.514,-6.2,-0.0001,163.7,276.7
4.102,543,0.521,-6.2,0.0015,163.5,282.8
4.199,549.6,0.54,-1.1,0.0015,162.9,296.6
4.297,554.8,0.563,-3.7,0.003,163,312.2
4.395,556.1,0.571,-3.7,0.0015,163.2,317.6
4.492,557,0.58,-3.7,0.003,163,322.8
4.59,557,0.601,-3.7,0.0015,163.2,334.5
4.688,557.8,0.603,-3.7,0.0015,163.2,336.2
4.785,559.1,0.603,-4.9,0.0015,163.4,336.9
4.883,555.2,0.617,-3.7,0.003,163,342.7
4.98,557,0.63,-2.4,0.003,162.9,350.8
5.078,556.5,0.632,-4.9,-0.0016,163.8,351.7
5.176,550.4,0.64,-3.7,0.003,163,352.5
5.273,550,0.645,-2.4,0.0045,162.6,354.5
5.371,547.4,0.653,-2.4,0.0015,163.1,357.5
5.469,540.4,0.649,-2.4,-0.0031,163.8,350.6
5.566,535.2,0.649,-1.1,0.003,162.7,347.3
5.664,532.6,0.659,-2.4,0.0015,163.1,351.2
5.762,525.2,0.651,-3.7,0.003,163,341.9
5.859,521.7,0.651,-1.1,0.0045,162.5,339.6
5.957,510.9,0.653,-2.4,0.003,162.9,333.6
6.055,503.5,0.664,-3.7,0.0015,163.2,334.1
6.152,500.4,0.647,-4.9,0.0015,163.4,323.6
6.25,490.4,0.64,-1.1,0.003,162.7,314.1
6.348,482.2,0.649,-3.7,0.003,163,312.8
6.445,472.6,0.64,-2.4,0.0045,162.6,302.7
6.543,462.2,0.624,-3.7,0.003,163,288.2
6.641,453.5,0.617,-2.4,0.0045,162.6,279.9
6.738,445.7,0.615,-3.7,0.0015,163.2,274.2
6.836,434.8,0.607,-3.7,0.0045,162.8,263.8
6.934,423.9,0.58,-2.4,0.0061,162.4,245.7
7.031,413.9,0.588,-1.1,0.0045,162.5,243.4
7.129,408.7,0.582,-2.4,0.0015,163.1,237.7
7.227,394.8,0.569,-3.7,0.0045,162.8,224.6
7.324,383,0.554,-2.4,0.0045,162.6,212.3
7.422,376.1,0.55,1.5,0.0015,162.6,206.9
7.52,367,0.525,-2.4,-0.0062,164.2,192.6
7.617,360.4,0.525,0.2,0.0061,162.1,189.2
7.715,347,0.517,-2.4,0.003,162.9,179.2
7.813,335.7,0.512,-2.4,0.0045,162.6,172
7.91,321.3,0.498,-2.4,0.0061,162.4,159.9
8.008,309.6,0.491,0.2,0.0045,162.3,152.1
8.105,298.3,0.477,-6.2,0.0015,163.5,142.2
8.203,282.2,0.468,-4.9,0.003,163.1,132.1
8.301,267.4,0.443,0.2,0.003,162.6,118.5
8.398,252.6,0.435,-2.4,0.003,162.9,109.8
8.496,236.5,0.416,-3.7,0.003,163,98.3
8.594,223,0.409,-2.4,0.0045,162.6,91.3
8.691,206.1,0.386,-1.1,0.003,162.7,79.6
8.789,188.7,0.372,-3.7,0.003,163,70.1
8.887,171.7,0.355,-2.4,0.0045,162.6,60.9
8.984,157,0.338,-3.7,0.0045,162.8,53.1
9.082,138.7,0.336,-3.7,0.003,163,46.6
9.18,127.4,0.294,-3.7,0.0015,163.2,37.4
9.277,112.6,0.288,-3.7,0.003,163,32.4
9.375,94.8,0.281,-2.4,0.0045,162.6,26.7
9.473,80.9,0.262,-1.1,0.003,162.7,21.2
9.57,60,0.241,-4.9,-0.0016,163.8,14.5
9.668,41.7,0.229,-8.8,0.003,163.6,9.6
9.766,19.1,0.197,-3.7,-0.0001,163.5,3.8
9.863,0,0.191,-4.9,0.003,163.1,0
9.961,-17.8,0.164,-2.4,0.0061,162.4,-2.9
10.059,-36.5,0.149,-3.7,0.0015,163.2,-5.4
10.156,-54.8,0.122,-7.5,-0.0001,163.9,-6.7
10.254,-74.8,0.101,-3.7,0.0015,163.2,-7.5
10.352,-92.2,0.092,-3.7,0.003,163,-8.5
10.449,-113.5,0.061,-4.9,0.0015,163.4,-6.9
10.547,-132.6,0.04,-3.7,0.003,163,-5.3
10.645,-151.7,0.036,-3.7,0.003,163,-5.4
10.742,-168.7,0.006,-3.7,0.003,163,-1.1
10.84,-184.8,-0.025,-4.9,-0.0031,164.1,4.7
10.938,-199.1,-0.038,-3.7,-0.0016,163.7,7.5
11.035,-213,-0.065,-3.7,-0.0016,163.7,13.9
11.133,-227.4,-0.08,-3.7,-0.0016,163.7,18.1
11.23,-237.8,-0.12,-3.7,-0.0031,163.9,28.5
11.328,-256.1,-0.134,-3.7,-0.0001,163.5,34.4
11.426,-270.9,-0.153,-3.7,0.003,163,41.5
11.523,-280.9,-0.17,-1.1,-0.0016,163.4,47.8
11.621,-295.7,-0.189,-4.9,-0.0093,165,55.9
11.719,-306.1,-0.208,-27.9,-0.0001,166.3,63.6
11.816,-319.1,-0.241,0.2,-0.0016,163.2,77.1
11.914,-329.6,-0.248,-1.1,-0.0001,163.2,81.7
12.012,-343,-0.269,1.5,-0.0001,162.9,92.2
