Time ,E1,I1,AI8,AI7,Pm,P1,Type
0,6.1,-0.634,-1.2,0.0045,149.08,-3.9,NOM
0.098,24.3,-0.632,-2.5,0.003,148.72,-15.4,NOM
0.195,45.2,-0.634,-3.8,0.0061,149.04,-28.7,NOM
0.293,67.4,-0.613,-2.5,0.003,148.72,-41.3,NOM
0.391,88.3,-0.594,-2.5,0.003,148.72,-52.4,NOM
0.488,100.9,-0.584,-3.8,0.003,148.58,-58.9,NOM
0.586,120.4,-0.584,-2.5,-0.0001,148.26,-70.3,NOM
0.684,139.6,-0.559,-3.8,0.0045,148.81,-78,NOM
0.781,154.8,-0.565,-2.5,0.0061,149.17,-87.4,NOM
0.879,170.4,-0.546,-1.2,0.003,148.85,-93,NOM
0.977,188.7,-0.538,-3.8,0.0015,148.36,-101.4,NOM
1.074,201.7,-0.531,-6.3,0.003,148.32,-107.2,NOM
1.172,219.1,-0.519,-1.2,0.0091,149.76,-113.6,NOM
1.27,229.6,-0.506,-1.2,0.003,148.85,-116.2,NOM
1.367,248.7,-0.504,-2.5,0.0045,148.95,-125.3,NOM
1.465,260.9,-0.483,-1.2,0.003,148.85,-126,NOM
1.563,272.6,-0.481,-3.8,0.003,148.58,-131.1,NOM
1.66,286.1,-0.466,-2.5,0.0045,148.95,-133.4,NOM
1.758,298.3,-0.456,-1.2,0.0061,149.31,-135.9,NOM
1.855,312.2,-0.428,-1.2,0.0015,148.63,-133.7,NOM
1.953,323.9,-0.433,-2.5,0.003,148.72,-140.1,NOM
2.051,336.1,-0.424,-3.8,0.0015,148.36,-142.6,NOM
2.148,342.6,-0.405,-2.5,0.003,148.72,-138.8,NOM
2.246,358.3,-0.391,-2.5,0.0015,148.49,-139.9,NOM
2.344,364.8,-0.374,-2.5,0.003,148.72,-136.3,NOM
2.441,379.1,-0.353,-2.5,0.003,148.72,-133.7,NOM
2.539,390,-0.349,-2.5,0.003,148.72,-135.9,NOM
2.637,401.3,-0.323,-3.8,0.0015,148.36,-129.8,NOM
2.734,407.4,-0.309,-3.8,0.0015,148.36,-125.7,NOM
2.832,418.7,-0.288,-3.8,0.0045,148.81,-120.4,NOM
2.93,428.3,-0.275,-1.2,0.003,148.85,-117.8,NOM
3.027,440,-0.269,-3.8,-0.0016,147.9,-118.3,NOM
3.125,451.3,-0.237,-5.1,0.0015,148.22,-107.1,NOM
3.223,463,-0.225,-3.8,0.0076,149.27,-104,NOM
3.32,472.6,-0.21,-1.2,-0.0001,148.4,-99.2,NOM
3.418,478.3,-0.195,-3.8,0.003,148.58,-93.4,NOM
3.516,488.7,-0.168,-2.5,0.0045,148.95,-82.1,NOM
3.613,498.7,-0.16,-2.5,-0.0001,148.26,-79.6,NOM
3.711,507.8,-0.124,-3.8,0.003,148.58,-62.9,NOM
3.809,517.4,-0.115,-1.2,0.0061,149.31,-59.8,NOM
3.906,526.1,-0.082,-2.5,0.0015,148.49,-43.1,NOM
4.004,536.5,-0.069,-2.5,-0.0047,147.58,-37.2,NOM
4.102,543.5,-0.034,-2.5,0.003,148.72,-18.3,NOM
4.199,548.3,-0.031,-1.2,0.003,148.85,-17.3,NOM
4.297,550.4,0.008,-2.5,0.0061,149.17,4.6,NOM
4.395,552.2,0.038,-2.5,0.0061,149.17,20.9,NOM
4.492,554.3,0.048,-2.5,0.0076,149.4,26.8,NOM
4.59,554.8,0.071,5.1,0.0076,150.21,39.6,NOM
4.688,559.6,0.09,3.9,0.0061,149.85,50.5,NOM
4.785,556.5,0.124,2.6,0.0061,149.71,68.9,NOM
4.883,551.7,0.134,3.9,0.0076,150.07,74.1,NOM
4.98,557.4,0.157,7.7,0.0061,150.25,87.8,NOM
5.078,557,0.178,3.9,0.0015,149.16,99.4,NOM
5.176,554.3,0.195,1.3,0.0076,149.8,108.3,NOM
5.273,548.7,0.225,6.4,0.0091,150.57,123.3,NOM
5.371,548.7,0.25,9,0.0045,150.15,137.1,NOM
5.469,544.3,0.252,5.1,0.0061,149.98,137.2,NOM
5.566,542.6,0.275,5.1,0.0061,149.98,149.3,NOM
5.664,539.6,0.286,5.1,0.0045,149.75,154.1,NOM
5.762,532.6,0.307,3.9,0.0076,150.07,163.3,NOM
5.859,528.7,0.321,6.4,0.0107,150.8,169.8,NOM
5.957,518.7,0.342,7.7,0.0061,150.25,177.5,NOM
6.055,510.4,0.349,6.4,-0.0077,148.05,177.9,NOM
6.152,501.7,0.374,5.1,0.0076,150.21,187.5,NOM
6.25,493.5,0.384,5.1,0.0061,149.98,189.6,NOM
6.348,484.8,0.397,5.1,0.0061,149.98,192.4,NOM
6.445,475.2,0.412,3.9,0.0061,149.85,195.6,NOM
6.543,468.7,0.433,3.9,0.0076,150.07,202.7,NOM
6.641,457.8,0.426,6.4,0.0091,150.57,195.1,NOM
6.738,450.9,0.458,3.9,0.0061,149.85,206.4,NOM
6.836,440.4,0.46,3.9,0.0061,149.85,202.5,NOM
6.934,430,0.475,5.1,0.0091,150.44,204.1,NOM
7.031,420.9,0.487,6.4,0.0076,150.34,205,NOM
7.129,412.2,0.489,5.1,0.003,149.52,201.7,NOM
7.227,400.4,0.506,2.6,0.0076,149.94,202.6,NOM
7.324,393.9,0.514,5.1,0.0076,150.21,202.6,NOM
7.422,381.3,0.535,10.3,0.0076,150.75,204.2,NOM
7.52,373.5,0.542,5.1,0.0076,150.21,202.3,NOM
7.617,363.9,0.563,6.4,0.0076,150.34,204.8,NOM
7.715,350.4,0.563,5.1,0.0045,149.75,197.2,NOM
7.813,343,0.584,5.1,0.0076,150.21,200.2,NOM
7.91,327,0.582,7.7,0.0107,150.94,190.2,NOM
8.008,319.1,0.611,6.4,0.0061,150.11,195,NOM
8.105,308.7,0.609,6.4,0.0061,150.11,188,NOM
8.203,292.2,0.613,6.4,0.0076,150.34,179.1,NOM
8.301,277,0.661,6.4,0.0061,150.11,183.2,NOM
8.398,261.3,0.643,5.1,0.0061,149.98,167.9,NOM
8.496,246.1,0.649,3.9,0.0061,149.85,159.7,NOM
8.594,232.2,0.651,5.1,0.0076,150.21,151.1,NOM
8.691,213,0.666,5.1,0.0091,150.44,141.8,NOM
8.789,197.4,0.672,3.9,0.0061,149.85,132.6,NOM
8.887,180.9,0.657,3.9,0.0045,149.62,118.9,NOM
8.984,165.7,0.668,5.1,0.0076,150.21,110.6,NOM
9.082,151.7,0.657,6.4,0.0076,150.34,99.7,NOM
9.18,134.8,0.668,5.1,0.0045,149.75,90,NOM
9.277,119.1,0.668,2.6,0.0061,149.71,79.5,NOM
9.375,104.8,0.666,5.1,0.0076,150.21,69.7,NOM
9.473,88.3,0.664,10.3,0.0061,150.52,58.6,NOM
9.57,69.6,0.657,5.1,0.0091,150.44,45.7,NOM
9.668,49.6,0.653,5.1,0.0061,149.98,32.4,NOM
9.766,31.7,0.659,5.1,0.0045,149.75,20.9,NOM
9.863,15.7,0.638,5.1,0.0061,149.98,10,NOM
9.961,-8.3,0.632,5.1,0.0091,150.44,-5.2,NOM
10.059,-27.8,0.622,7.7,0.003,149.79,-17.3,NOM
10.156,-48.3,0.609,5.1,0.0061,149.98,-29.4,NOM
10.254,-67,0.603,5.1,0.0061,149.98,-40.3,NOM
10.352,-85.2,0.59,5.1,0.0061,149.98,-50.3,NOM
10.449,-103.5,0.575,3.9,0.0045,149.62,-59.5,NOM
10.547,-121.3,0.577,5.1,0.003,149.52,-70,NOM
10.645,-139.1,0.569,5.1,0.0045,149.75,-79.2,NOM
10.742,-154.8,0.559,5.1,0.003,149.52,-86.5,NOM
10.84,-173.5,0.548,5.1,0.003,149.52,-95.1,NOM
10.938,-191.7,0.546,2.6,0.0015,149.03,-104.7,NOM
11.035,-204.3,0.527,5.1,0.0045,149.75,-107.7,NOM
11.133,-217.8,0.519,6.4,0.003,149.66,-113,NOM
11.23,-233,0.51,5.1,-0.0001,149.07,-118.9,NOM
11.328,-247.8,0.496,1.3,0.0015,148.89,-122.8,NOM
11.426,-260.9,0.483,3.9,0.0015,149.16,-126,NOM
11.523,-273.5,0.47,11.5,0.0045,150.42,-128.6,NOM
11.621,-289.6,0.468,5.1,0.0045,149.75,-135.6,NOM
11.719,-302.6,0.458,3.9,0.003,149.39,-138.5,NOM
11.816,-312.2,0.43,3.9,0.0015,149.16,-134.4,NOM
11.914,-325.7,0.424,2.6,0.003,149.25,-138.1,NOM
12.012,-337.8,0.414,6.4,0.0076,150.34,-139.7,NOM
12.109,-346.1,0.401,7.7,0.003,149.79,-138.8,NOM
12.207,-359.1,0.378,3.9,0.003,149.39,-135.7,NOM
12.305,-369.1,0.361,5.1,0.0045,149.75,-133.3,NOM
12.402,-380,0.346,5.1,0.003,149.52,-131.7,NOM
12.5,-389.1,0.342,5.1,0.003,149.52,-133.2,NOM
12.598,-400.9,0.33,3.9,0.003,149.39,-132.2,NOM
12.695,-410.4,0.321,5.1,0.0045,149.75,-131.9,NOM
12.793,-417.8,0.288,5.1,0.003,149.52,-120.2,NOM
12.891,-433.5,0.283,5.1,0.0015,149.29,-122.9,NOM
12.988,-441.7,0.267,3.9,0.0015,149.16,-117.8,NOM
13.086,-453.5,0.244,3.9,0.003,149.39,-110.5,NOM
13.184,-464.8,0.235,6.4,0.0045,149.89,-109.3,NOM
13.281,-473.9,0.202,5.1,0.0015,149.29,-95.5,NOM
13.379,-481.3,0.189,2.6,0.0015,149.03,-91,NOM
13.477,-488.7,0.172,5.1,0.0015,149.29,-84.1,NOM
13.574,-502.6,0.153,11.5,0.003,150.19,-77,NOM
13.672,-510.4,0.136,5.1,0.0061,149.98,-69.7,NOM
13.77,-516.5,0.111,5.1,0.003,149.52,-57.5,NOM
13.867,-529.1,0.101,5.1,0.0015,149.29,-53.3,NOM
13.965,-541.3,0.065,3.9,0.003,149.39,-35.2,NOM
14.063,-544.3,0.05,5.1,0.0061,149.98,-27.4,NOM
14.16,-550,0.029,7.7,0.003,149.79,-16.2,NOM
14.258,-558.3,0.002,3.9,0.0015,149.16,-1.2,NOM
14.355,-557,-0.031,5.1,0.0015,149.29,17.5,NOM
14.453,-555.7,-0.063,5.1,-0.0001,149.07,35,NOM
14.551,-557.8,-0.071,3.9,-0.0031,148.47,39.8,NOM
14.648,-556.1,-0.097,2.6,-0.0016,148.57,53.7,NOM
14.746,-563.5,-0.111,5.1,0.0015,149.29,62.7,NOM
14.844,-559.1,-0.147,3.9,-0.0001,148.93,82.2,NOM
14.941,-559.6,-0.149,3.9,-0.0001,148.93,83.4,NOM
15.039,-557.8,-0.178,3.9,-0.0016,148.7,99.6,NOM
15.137,-554.8,-0.191,5.1,0.0015,149.29,106,NOM
15.234,-556.1,-0.21,6.4,0.003,149.66,116.8,NOM
15.332,-549.6,-0.239,6.4,-0.0016,148.97,131.5,NOM
15.43,-547.8,-0.252,1.3,-0.0016,148.44,138,NOM
15.527,-543.5,-0.279,3.9,-0.0001,148.93,151.8,NOM
15.625,-539.6,-0.292,11.5,-0.0001,149.73,157.5,NOM
15.723,-536.1,-0.313,5.1,-0.0001,149.07,167.7,NOM
15.82,-527,-0.332,5.1,0.003,149.52,174.8,NOM
15.918,-518.7,-0.357,3.9,-0.0016,148.7,185.2,NOM
16.016,-514.8,-0.357,3.9,0.0015,149.16,183.8,NOM
16.113,-505.2,-0.365,5.1,0.003,149.52,184.6,NOM
16.211,-493,-0.395,9,0.0015,149.7,194.6,NOM
16.309,-484.3,-0.409,3.9,-0.0016,148.7,198.3,NOM
16.406,-477,-0.405,15.4,0.003,150.59,193.3,NOM
16.504,-467,-0.424,6.4,-0.0001,149.2,198.1,NOM
16.602,-460,-0.441,3.9,-0.0016,148.7,202.8,NOM
16.699,-450.9,-0.454,5.1,0.0015,149.29,204.5,NOM
16.797,-440.4,-0.468,5.1,0.0015,149.29,206.2,NOM
16.895,-435.7,-0.481,6.4,0.003,149.66,209.5,NOM
16.992,-421.3,-0.479,5.1,-0.0001,149.07,201.7,NOM
17.09,-409.1,-0.489,3.9,-0.0001,148.93,200.2,NOM
17.188,-403,-0.493,3.9,0.0015,149.16,198.9,NOM
17.285,-392.6,-0.517,7.7,0.003,149.79,202.8,NOM
17.383,-381.7,-0.517,7.7,-0.0001,149.33,197.2,NOM
17.48,-376.5,-0.533,3.9,-0.0016,148.7,200.8,NOM
17.578,-362.2,-0.548,3.9,-0.0001,148.93,198.5,NOM
17.676,-351.3,-0.571,9,-0.0001,149.47,200.6,NOM
17.773,-343,-0.575,6.4,0.0015,149.43,197.4,NOM
17.871,-332.2,-0.594,5.1,-0.0001,149.07,197.4,NOM
17.969,-319.1,-0.601,5.1,-0.0001,149.07,191.6,NOM
18.066,-307.8,-0.613,3.9,0.0015,149.16,188.7,NOM
18.164,-295.2,-0.624,5.1,0.003,149.52,184.1,NOM
18.262,-277.8,-0.632,7.7,0.0015,149.56,175.6,NOM
18.359,-261.7,-0.64,3.9,-0.0047,148.25,167.6,NOM
18.457,-244.3,-0.655,1.3,0.0015,148.89,160.1,NOM
18.555,-231.7,-0.649,6.4,0.0015,149.43,150.4,NOM
18.652,-216.1,-0.674,5.1,-0.0001,149.07,145.6,NOM
18.75,-199.6,-0.661,3.9,-0.0001,148.93,132,NOM
18.848,-183.9,-0.655,6.4,0.0015,149.43,120.5,NOM
18.945,-167.4,-0.661,5.1,0.0015,149.29,110.7,NOM
19.043,-147.8,-0.655,5.1,-0.0001,149.07,96.8,NOM
19.141,-136.1,-0.666,5.1,0.0015,149.29,90.6,NOM
19.238,-121.3,-0.666,3.9,0.0015,149.16,80.7,NOM
19.336,-104.8,-0.668,5.1,0.0015,149.29,70,NOM
19.434,-88.7,-0.655,5.1,-0.0001,149.07,58.1,NOM
19.531,-72.6,-0.655,2.6,-0.0031,148.34,47.6,NOM
19.629,-52.2,-0.647,0,0.0015,148.76,33.7,NOM
19.727,-30,-0.649,2.6,-0.0001,148.8,19.5,NOM
19.824,-16.1,-0.645,-1.2,0.0015,148.63,10.4,NOM
19.922,6.5,-0.634,1.3,0.0015,148.89,-4.1,NOM
20.02,24.3,-0.619,-2.5,-0.0016,148.04,-15.1,NOM
20.117,44.8,-0.615,-2.5,-0.0001,148.26,-27.6,NOM
20.215,68.7,-0.601,1.3,0.003,149.12,-41.3,NOM
20.313,84.3,-0.588,2.6,0.0015,149.03,-49.6,NOM
20.41,105.7,-0.577,-1.2,-0.0031,147.94,-61,NOM
20.508,121.7,-0.582,-2.5,-0.0001,148.26,-70.8,NOM
20.605,138.7,-0.565,0,0.0015,148.76,-78.3,NOM
20.703,157.4,-0.559,-1.2,-0.0001,148.4,-87.9,NOM
20.801,174.3,-0.544,0,-0.0001,148.53,-94.8,NOM
20.898,188.3,-0.548,-1.2,0.0015,148.63,-103.2,NOM
20.996,202.2,-0.523,-1.2,-0.0001,148.4,-105.7,NOM
21.094,219.6,-0.514,0,-0.0001,148.53,-113,NOM
21.191,232.2,-0.502,-1.2,-0.0016,148.17,-116.5,NOM
21.289,247.8,-0.506,-1.2,-0.0001,148.4,-125.4,NOM
21.387,262.2,-0.487,2.6,0.0015,149.03,-127.7,NOM
21.484,276.5,-0.464,1.3,-0.0016,148.44,-128.3,NOM
21.582,287,-0.464,-3.8,-0.0031,147.68,-133.2,NOM
21.68,300.9,-0.447,-2.5,-0.0001,148.26,-134.6,NOM
21.777,312.6,-0.449,-1.2,-0.0016,148.17,-140.5,NOM
21.875,324.8,-0.426,-2.5,0.0015,148.49,-138.4,NOM
21.973,333,-0.416,-1.2,0.0015,148.63,-138.5,NOM
22.07,347.8,-0.409,-2.5,-0.0016,148.04,-142.4,NOM
22.168,359.1,-0.395,-2.5,-0.0016,148.04,-141.8,NOM
22.266,370,-0.391,-2.5,-0.0001,148.26,-144.5,NOM
22.363,378.3,-0.355,2.6,0.0015,149.03,-134.2,NOM
22.461,387,-0.33,-3.8,-0.0062,147.22,-127.6,NOM
22.559,398.3,-0.338,-1.2,-0.0001,148.4,-134.6,NOM
22.656,409.1,-0.307,-1.2,0.0015,148.63,-125.4,NOM
22.754,420.4,-0.3,-1.2,-0.0016,148.17,-126.2,NOM
22.852,427.4,-0.288,-3.8,-0.0016,147.9,-122.9,NOM
22.949,442.6,-0.256,-1.2,-0.0001,148.4,-113.4,NOM
23.047,450,-0.244,-1.2,-0.0001,148.4,-109.6,NOM
23.145,461.3,-0.231,-1.2,-0.0016,148.17,-106.5,NOM
23.242,471.7,-0.218,-2.5,-0.0001,148.26,-103,NOM
23.34,479.1,-0.197,-2.5,0.0015,148.49,-94.6,NOM
23.438,490.9,-0.17,0,0.0015,148.76,-83.5,NOM
23.535,499.1,-0.164,-1.2,-0.0016,148.17,-81.7,NOM
23.633,513,-0.149,-3.8,-0.0031,147.68,-76.5,NOM
23.73,520,-0.128,-2.5,0.003,148.72,-66.6,NOM
23.828,528.3,-0.09,-2.5,-0.0031,147.81,-47.7,NOM
23.926,539.1,-0.065,-1.2,0.0015,148.63,-35.1,NOM
24.023,542.2,-0.046,-1.2,-0.0001,148.4,-25,NOM
24.121,548.3,-0.027,-2.5,-0.0047,147.58,-15,NOM
24.219,548.7,-0.006,-3.8,0.003,148.58,-3.5,NOM
24.316,555.7,0.019,-1.2,0.0061,149.31,10.5,NOM
24.414,560,0.038,1.3,0.0061,149.58,21.2,NOM
24.512,554.8,0.061,-2.5,-0.0031,147.81,33.8,NOM
24.609,556.5,0.084,-3.8,0.0045,148.81,46.7,NOM
24.707,559.1,0.111,-1.2,0.0045,149.08,62.2,NOM
24.805,560,0.13,-1.2,0.003,148.85,72.9,NOM
24.902,559.6,0.155,-2.5,0.0015,148.49,86.9,NOM
25,556.5,0.16,-1.2,0.0045,149.08,88.8,NOM
25.098,555.7,0.199,-1.2,0.003,148.85,110.8,NOM
25.195,550.4,0.218,0,0.003,148.99,120.2,NOM
25.293,548.7,0.235,-2.5,0.003,148.72,129,NOM
25.391,542.2,0.254,-2.5,0.0045,148.95,137.7,NOM
25.488,539.6,0.258,0,0.0061,149.44,139.4,NOM
25.586,537,0.292,0,0.003,148.99,156.7,NOM
25.684,534.3,0.311,-3.8,-0.0001,148.13,166.1,NOM
25.781,526.1,0.328,-1.2,0.0076,149.54,172.3,NOM
25.879,517.4,0.34,0,0.003,148.99,176,NOM
25.977,510.4,0.357,-1.2,0.0061,149.31,182.2,NOM
26.074,497.4,0.384,0,0.0045,149.21,191.1,NOM
26.172,493.5,0.391,0,0.003,148.99,192.7,NOM
26.27,484.8,0.391,-3.8,0.0045,148.81,189.3,NOM
26.367,476.5,0.416,0,0.0061,149.44,198.1,NOM
26.465,470.4,0.422,1.3,0.0045,149.35,198.5,NOM
26.563,459.1,0.43,-5.1,-0.0016,147.77,197.6,NOM
26.66,451.7,0.447,-5.1,0.0045,148.68,202,NOM
26.758,440,0.454,-3.8,0.0045,148.81,199.6,NOM
26.855,429.1,0.458,-2.5,0.003,148.72,196.4,NOM
26.953,418.7,0.479,-3.8,0.003,148.58,200.4,NOM
27.051,409.1,0.491,-3.8,0.003,148.58,201,NOM
27.148,399.6,0.504,-2.5,0.0045,148.95,201.4,NOM
27.246,392.2,0.51,-2.5,0.0045,148.95,200.1,NOM
27.344,381.3,0.523,-5.1,0.003,148.45,199.4,NOM
27.441,375.7,0.542,-5.1,0.003,148.45,203.5,NOM
27.539,363.5,0.54,-2.5,0.0061,149.17,196.1,NOM
27.637,353,0.561,-2.5,-0.0001,148.26,197.9,NOM
27.734,340.4,0.586,-6.3,-0.0016,147.64,199.4,NOM
27.832,330.4,0.592,-6.3,0.0045,148.54,195.7,NOM
27.93,315.7,0.59,-1.2,-0.0062,147.49,186.2,NOM
28.027,305.2,0.615,-2.5,0.0045,148.95,187.8,NOM
28.125,292.6,0.632,-1.2,0.003,148.85,184.9,NOM
28.223,278.3,0.617,-2.5,0.0015,148.49,171.8,NOM
28.32,260.4,0.655,-5.1,0.0015,148.22,170.6,NOM
28.418,243,0.647,-3.8,0.0045,148.81,157.2,NOM
28.516,229.6,0.655,-1.2,0.003,148.85,150.4,NOM
