Time ,E1,I1,AI8,AI7,Pm,P1
0,12.6,-1.627,8.6,-0.0042,220.1,-20.5
0.098,30.4,-1.587,9.9,-0.0027,220.6,-48.3
0.195,46.1,-1.562,9.9,-0.0042,220.5,-72
0.293,67.8,-1.522,4.8,-0.0073,218.8,-103.3
0.391,83.9,-1.485,4.8,-0.0058,218.9,-124.6
0.488,97.4,-1.449,6.1,-0.0012,219.7,-141.1
0.586,117.8,-1.405,8.6,-0.0027,220.2,-165.5
0.684,129.6,-1.354,4.8,-0.0073,218.8,-175.5
0.781,145.2,-1.314,7.4,-0.0042,219.8,-190.9
0.879,160.9,-1.283,-8,-0.0058,215.5,-206.4
0.977,172.2,-1.241,4.8,-0.0058,218.9,-213.7
1.074,185.2,-1.203,6.1,-0.0058,219.3,-222.8
1.172,196.5,-1.159,4.8,-0.0058,218.9,-227.8
1.27,210.4,-1.13,4.8,-0.0073,218.8,-237.7
1.367,223,-1.081,6.1,-0.0042,219.4,-241.2
1.465,235.7,-1.031,8.6,-0.0058,220,-243
1.563,248.3,-1.004,7.4,-0.0088,219.4,-249.2
1.66,256.1,-0.955,4.8,-0.0104,218.5,-244.7
1.758,269.6,-0.907,4.8,-0.0073,218.8,-244.5
1.855,277.8,-0.863,-0.3,-0.0073,217.4,-239.8
1.953,291.3,-0.81,4.8,-0.0073,218.8,-236.1
2.051,299.1,-0.752,6.1,-0.0073,219.2,-224.9
2.148,309.6,-0.712,6.1,-0.0058,219.3,-220.4
2.246,319.6,-0.661,6.1,-0.0058,219.3,-211.4
2.344,328.3,-0.603,6.1,-0.0058,219.3,-197.8
2.441,337,-0.546,4.8,-0.0073,218.8,-184
2.539,345.2,-0.485,6.1,-0.0042,219.4,-167.4
2.637,355.7,-0.43,8.6,-0.0058,220,-153.1
2.734,366.5,-0.376,6.1,-0.0088,219,-137.8
2.832,371.7,-0.302,4.8,-0.0104,218.5,-112.4
2.93,383.5,-0.25,-18.2,-0.0073,212.5,-95.8
3.027,390.4,-0.195,6.1,-0.0073,219.2,-76.2
3.125,400.9,-0.132,6.1,-0.0058,219.3,-53
3.223,409.1,-0.08,6.1,-0.0073,219.2,-32.6
3.32,416.5,-0.008,6.1,-0.0042,219.4,-3.5
3.418,423,0.05,6.1,-0.0027,219.5,21.3
3.516,436.1,0.109,8.6,-0.0027,220.2,47.6
3.613,444.8,0.16,6.1,-0.0042,219.4,71
3.711,453,0.225,3.5,-0.0073,218.5,101.8
3.809,460,0.277,4.8,-0.0027,219.2,127.5
3.906,467.8,0.346,1,-0.0073,217.8,162.1
4.004,475.2,0.401,4.8,-0.0042,219.1,190.6
4.102,483,0.468,6.1,-0.0042,219.4,226.2
4.199,482.2,0.523,6.1,-0.0027,219.5,252.1
4.297,490.4,0.582,7.4,-0.0042,219.8,285.3
4.395,491.3,0.643,6.1,-0.0058,219.3,315.7
4.492,491.3,0.682,3.5,-0.0058,218.6,335.3
4.59,491.7,0.758,6.1,-0.0027,219.5,372.7
4.688,492.2,0.779,8.6,-0.0012,220.4,383.4
4.785,495.7,0.838,7.4,-0.0073,219.5,415.3
4.883,495.2,0.892,3.5,-0.0058,218.6,441.9
4.98,494.3,0.934,2.3,-0.0042,218.4,461.9
5.078,490.9,0.989,6.1,-0.0042,219.4,485.5
5.176,490,1.035,4.8,-0.0058,218.9,507.2
5.273,489.6,1.079,4.8,-0.0058,218.9,528.4
5.371,486.1,1.123,2.3,-0.0042,218.4,546.1
5.469,479.1,1.174,3.5,-0.0042,218.7,562.4
5.566,475.7,1.205,6.1,-0.0042,219.4,573.3
5.664,473,1.264,3.5,-0.0073,218.5,597.9
5.762,470,1.304,1,-0.0165,217,612.9
5.859,463,1.35,-1.6,-0.0318,215,625.2
5.957,455.2,1.377,-18.2,0.028,215.4,627
6.055,450.4,1.434,3.5,-0.0058,218.6,646
6.152,444.3,1.459,2.3,-0.0042,218.4,648.4
6.25,436.1,1.497,3.5,-0.0042,218.7,652.9
6.348,427,1.541,4.8,-0.0042,219.1,658
6.445,419.1,1.548,3.5,-0.0058,218.6,648.6
6.543,409.6,1.583,2.3,-0.0073,218.1,648.4
6.641,409.1,1.619,6.1,-0.0012,219.7,662.3
6.738,397,1.642,6.1,-0.0012,219.7,651.8
6.836,385.2,1.661,6.1,-0.0058,219.3,639.8
6.934,379.6,1.709,2.3,-0.0058,218.2,648.7
7.031,372.2,1.715,2.3,-0.0027,218.5,638.5
7.129,363.9,1.751,4.8,-0.0042,219.1,637.3
7.227,354.8,1.77,4.8,-0.0042,219.1,628
7.324,346.5,1.778,3.5,-0.0058,218.6,616.3
7.422,337,1.814,3.5,-0.0058,218.6,611.3
7.52,327.4,1.829,2.3,-0.0042,218.4,598.8
7.617,322.2,1.856,6.1,-0.0042,219.4,598
7.715,314.3,1.865,6.1,-0.0073,219.2,586.1
7.813,307,1.881,1,-0.0165,217,577.5
7.91,295.7,1.89,-1.6,-0.0303,215.1,558.7
8.008,283.5,1.909,-19.4,-0.0211,211.1,541.1
8.105,273,1.925,6.1,-0.0042,219.4,525.7
8.203,261.7,1.919,3.5,-0.0058,218.6,502.3
8.301,249.1,1.917,3.5,-0.0042,218.7,477.6
8.398,233.9,1.925,7.4,-0.0042,219.8,450.4
8.496,220,1.925,4.8,-0.0073,218.8,423.6
8.594,203.9,1.923,3.5,-0.0058,218.6,392.2
8.691,192.2,1.909,3.5,-0.0027,218.8,366.8
8.789,181.7,1.902,6.1,-0.0042,219.4,345.7
8.887,164.3,1.9,4.8,-0.0058,218.9,312.3
8.984,150.4,1.867,1,-0.0058,217.9,280.8
9.082,132.2,1.873,2.3,-0.0058,218.2,247.6
9.18,122.2,1.852,3.5,-0.0058,218.6,226.3
9.277,107.8,1.846,3.5,-0.0058,218.6,199
9.375,96.1,1.814,4.8,-0.0058,218.9,174.3
9.473,82.6,1.795,3.5,-0.0073,218.5,148.3
9.57,68.7,1.791,2.3,-0.0058,218.2,123
9.668,55.2,1.749,4.8,-0.0042,219.1,96.6
9.766,32.6,1.718,4.8,-0.0058,218.9,56
9.863,17.8,1.694,3.5,-0.0104,218.2,30.2
9.961,-1.3,1.68,4.8,-0.0012,219.3,-2.2
10.059,-18.7,1.61,-1.6,-0.0165,216.3,-30.1
10.156,-33,1.577,1,-0.0058,217.9,-52.1
10.254,-53.5,1.554,3.5,-0.0058,218.6,-83.1
10.352,-70,1.51,3.5,-0.0042,218.7,-105.7
10.449,-87.8,1.472,4.8,-0.0042,219.1,-129.3
10.547,-104.3,1.44,3.5,-0.0042,218.7,-150.3
10.645,-117.4,1.413,2.3,-0.0058,218.2,-165.9
10.742,-133,1.363,3.5,-0.0027,218.8,-181.3
10.84,-150,1.31,7.4,-0.0012,220,-196.5
10.938,-162.6,1.285,4.8,-0.0042,219.1,-209
11.035,-175.2,1.239,-1.6,-0.0042,217.3,-217.1
11.133,-187.8,1.197,1,-0.0042,218,-224.8
11.23,-198.7,1.159,3.5,-0.0042,218.7,-230.3
11.328,-212.6,1.121,3.5,-0.0027,218.8,-238.4
11.426,-225.7,1.081,4.8,-0.0027,219.2,-244
11.523,-240,1.033,3.5,-0.0042,218.7,-247.9
11.621,-250.9,0.987,3.5,-0.0027,218.8,-247.6
11.719,-262.6,0.962,6.1,0.0004,219.8,-252.5
11.816,-273,0.913,4.8,-0.0027,219.2,-249.4
11.914,-285.2,0.842,3.5,-0.0058,218.6,-240.2
12.012,-296.5,0.8,1,-0.0012,218.3,-237.2
12.109,-301.7,0.745,-1.6,-0.0655,212.2,-224.9
12.207,-310.4,0.71,4.8,-0.0042,219.1,-220.3
12.305,-323.5,0.638,3.5,-0.0027,218.8,-206.5
12.402,-330.9,0.588,3.5,-0.0027,218.8,-194.5
12.5,-338.7,0.531,4.8,0.0004,219.4,-179.9
12.598,-349.1,0.472,3.5,-0.0027,218.8,-164.9
12.695,-357,0.418,2.3,-0.0027,218.5,-149.2
12.793,-363.9,0.349,3.5,0.0004,219.1,-126.8
12.891,-372.6,0.294,6.1,0.0004,219.8,-109.5
12.988,-382.6,0.233,4.8,-0.0012,219.3,-89.2
13.086,-393,0.189,1,-0.0012,218.3,-74.3
13.184,-402.2,0.113,2.3,-0.0027,218.5,-45.6
13.281,-413,0.048,2.3,-0.0027,218.5,-19.9
13.379,-422.6,-0.019,3.5,-0.0042,218.7,8
13.477,-427.4,-0.067,3.5,-0.0042,218.7,28.7
13.574,-437.4,-0.122,3.5,-0.0073,218.5,53.3
13.672,-445.2,-0.178,2.3,-0.0073,218.1,79.5
13.77,-452.2,-0.252,3.5,-0.0042,218.7,113.9
13.867,-463,-0.298,4.8,-0.0058,218.9,138.1
13.965,-472.2,-0.363,2.3,-0.0104,217.9,171.5
14.063,-480.9,-0.418,1,-0.0058,217.9,200.9
14.16,-484.3,-0.481,1,-0.0487,214.3,232.9
14.258,-490.4,-0.538,3.5,-0.0073,218.5,263.6
14.355,-489.1,-0.594,3.5,-0.0058,218.6,290.7
14.453,-494.3,-0.659,3.5,-0.0058,218.6,325.9
14.551,-491.3,-0.708,4.8,-0.0042,219.1,347.7
14.648,-493,-0.758,3.5,-0.0073,218.5,373.7
14.746,-493,-0.806,2.3,-0.0073,218.1,397.5
14.844,-492.6,-0.867,2.3,-0.0027,218.5,427.2
14.941,-493.5,-0.907,4.8,-0.0027,219.2,447.6
15.039,-495.7,-0.949,6.1,-0.0012,219.7,470.4
15.137,-491.7,-0.995,2.3,-0.0042,218.4,489.4
15.234,-490,-1.048,3.5,-0.0042,218.7,513.4
15.332,-485.2,-1.107,3.5,-0.0058,218.6,536.9
15.43,-485.2,-1.149,3.5,-0.0042,218.7,557.3
15.527,-480.4,-1.197,6.1,-0.0058,219.3,575
15.625,-475.7,-1.237,2.3,-0.0073,218.1,588.3
15.723,-471.7,-1.26,2.3,-0.0058,218.2,594.3
15.82,-471.7,-1.325,4.8,-0.0012,219.3,625
15.918,-465.7,-1.356,6.1,-0.0042,219.4,631.6
16.016,-455.2,-1.39,2.3,-0.0119,217.7,632.8
16.113,-449.6,-1.443,-1.6,-0.0195,216,648.5
16.211,-444.8,-1.476,-8,-0.11,206.8,656.6
16.309,-435.2,-1.506,3.5,-0.0027,218.8,655.2
16.406,-427.4,-1.541,4.8,-0.0027,219.2,658.7
16.504,-422.2,-1.573,3.5,-0.0012,219,664
16.602,-410.9,-1.575,4.8,-0.0012,219.3,647
16.699,-404.3,-1.625,6.1,-0.0027,219.5,657.1
16.797,-398.7,-1.661,3.5,-0.0042,218.7,662.2
16.895,-389.1,-1.667,3.5,-0.0012,219,648.8
16.992,-380,-1.705,6.1,0.0004,219.8,647.9
17.09,-371.3,-1.726,7.4,-0.0012,220,640.9
17.188,-362.6,-1.72,3.5,-0.0027,218.8,623.6
17.285,-355.2,-1.774,2.3,-0.0042,218.4,630.3
17.383,-345.2,-1.797,4.8,-0.0012,219.3,620.5
17.48,-337.8,-1.823,6.1,-0.0012,219.7,615.7
17.578,-328.3,-1.841,4.8,-0.0042,219.1,604.5
17.676,-321.3,-1.867,4.8,-0.0042,219.1,599.8
17.773,-313.5,-1.871,3.5,-0.0012,219,586.5
17.871,-303,-1.888,6.1,0.0004,219.8,572
17.969,-291.7,-1.904,6.1,-0.0027,219.5,555.6
18.066,-283,-1.898,2.3,-0.0104,217.9,537.3
18.164,-271.3,-1.921,-1.6,-0.0195,216,521.2
18.262,-261.3,-1.932,-6.7,-0.0901,208.8,504.8
18.359,-245.2,-1.925,4.8,-0.0027,219.2,472.2
18.457,-230,-1.919,4.8,-0.0027,219.2,441.4
18.555,-218.3,-1.919,4.8,-0.0012,219.3,418.9
18.652,-203,-1.928,6.1,0.0004,219.8,391.4
18.75,-189.6,-1.907,6.1,-0.0027,219.5,361.4
18.848,-177.4,-1.909,3.5,-0.0042,218.7,338.6
18.945,-163,-1.9,3.5,-0.0012,219,309.8
19.043,-147,-1.875,6.1,0.0019,219.9,275.6
19.141,-134.3,-1.875,6.1,-0.0012,219.7,251.9
19.238,-120,-1.848,3.5,0.0004,219.1,221.7
19.336,-107.8,-1.837,2.3,-0.0042,218.4,198.1
19.434,-94.8,-1.818,3.5,-0.0042,218.7,172.4
19.531,-79.1,-1.806,3.5,-0.0012,219,142.9
19.629,-67,-1.791,6.1,-0.0027,219.5,119.9
19.727,-47.4,-1.753,3.5,-0.0042,218.7,83.1
19.824,-33.9,-1.722,3.5,-0.0012,219,58.4
19.922,-16.5,-1.694,3.5,-0.0012,219,28
20.02,3.5,-1.667,4.8,-0.0042,219.1,-5.8
20.117,19.6,-1.606,2.3,-0.0058,218.2,-31.4
20.215,39.6,-1.596,-0.3,-0.0042,217.7,-63.1
20.313,55.2,-1.548,3.5,-0.0165,217.7,-85.4
20.41,71.7,-1.499,2.3,-0.0042,218.4,-107.6
20.508,86.1,-1.47,1,-0.0042,218,-126.5
20.605,102.6,-1.44,2.3,-0.0027,218.5,-147.8
20.703,120.4,-1.394,3.5,-0.0012,219,-167.9
20.801,134.8,-1.354,2.3,-0.0027,218.5,-182.5
20.898,151.3,-1.331,1,-0.0027,218.1,-201.4
20.996,162.2,-1.262,1,-0.0012,218.3,-204.7
21.094,175.7,-1.233,3.5,0.0004,219.1,-216.5
21.191,189.6,-1.193,3.5,-0.0012,219,-226.1
21.289,201.3,-1.151,3.5,-0.0012,219,-231.6
21.387,213,-1.117,2.3,-0.0027,218.5,-238
21.484,227,-1.079,1,-0.0042,218,-244.9
21.582,239.1,-1.031,3.5,-0.0027,218.8,-246.5
21.68,250.4,-0.995,3.5,-0.0042,218.7,-249.3
21.777,259.6,-0.947,2.3,-0.0058,218.2,-245.8
21.875,272.6,-0.88,2.3,-0.0027,218.5,-239.8
21.973,283,-0.85,3.5,-0.0027,218.8,-240.7
