Time ,E1,I1,AI8,AI7,Pm,P1
0,0.9,-0.002,17.9,0.0031,139.1,0
0.098,22.6,0.006,-1.2,0,136.5,0.1
0.195,39.1,-0.002,15.4,0,138.4,-0.1
0.293,59.6,-0.006,15.4,0,138.4,-0.4
0.391,80,0,15.4,-0.0015,138.2,0
0.488,97.4,-0.008,12.8,-0.0015,137.9,-0.8
0.586,113.5,-0.004,15.4,0.0016,138.6,-0.5
0.684,135.2,0.013,16.7,0,138.6,1.7
0.781,152.2,0.019,14.1,-0.003,137.9,2.9
0.879,170,0,12.8,0,138.1,0
0.977,184.3,-0.008,15.4,0,138.4,-1.5
1.074,199.1,0.006,15.4,-0.0015,138.2,1.3
1.172,211.3,0.002,12.8,-0.0015,137.9,0.4
1.27,227,-0.008,14.1,0,138.3,-1.9
1.367,240.4,0.002,15.4,-0.0015,138.2,0.5
1.465,255.7,0.004,-7.6,-0.0015,135.6,1.1
1.563,267.4,0,-11.4,0,135.3,0
1.66,281.3,-0.004,-7.6,0.0016,136,-1.2
1.758,293,-0.006,-7.6,0,135.8,-1.8
1.855,305.2,-0.01,-10.1,-0.003,135.1,-3.2
1.953,319.1,0.006,-12.7,-0.0015,135,2
2.051,328.7,0,-7.6,0.0062,136.5,0
2.148,340.9,0.002,-8.9,0,135.6,0.7
2.246,349.1,0.01,-8.9,0,135.6,3.7
2.344,360.9,-0.01,-7.6,0,135.8,-3.8
2.441,370.9,0.004,-8.9,-0.003,135.2,1.6
2.539,381.7,0.002,-12.7,0,135.2,0.8
2.637,390,-0.004,-8.9,0.0016,135.8,-1.6
2.734,404.8,0.004,-7.6,0.0016,136,1.7
2.832,413.5,-0.004,-8.9,0,135.6,-1.7
2.93,425.2,0.006,-12.7,0,135.2,2.7
3.027,435.7,0.002,-7.6,0.0016,136,0.9
3.125,445.7,0.004,-8.9,0.0062,136.4,1.9
3.223,453.9,0.004,-10.1,0,135.5,1.9
3.32,465.7,0.006,-8.9,0,135.6,2.9
3.418,473.9,-0.002,-8.9,0,135.6,-1
3.516,483,0.004,-11.4,-0.0015,135.1,2
3.613,495.2,0.004,-10.1,-0.0015,135.3,2.1
3.711,502.2,-0.004,-8.9,0,135.6,-2.1
3.809,510.9,0.008,-6.3,-0.0015,135.7,4.3
3.906,522.2,-0.013,-10.1,-0.003,135.1,-6.6
4.004,525.7,-0.004,-12.7,-0.0015,135,-2.2
4.102,539.1,-0.002,-8.9,0.0046,136.2,-1.1
4.199,544.3,0.004,-7.6,0,135.8,2.3
4.297,549.6,-0.008,-8.9,0,135.6,-4.6
4.395,550.4,0.004,-8.9,-0.0015,135.4,2.3
4.492,556.5,0.006,-8.9,-0.0015,135.4,3.5
4.59,552.6,0.004,-11.4,0,135.3,2.3
4.688,553.5,0.008,-8.9,0.0016,135.8,4.6
4.785,555.2,-0.008,-6.3,0.0016,136.1,-4.7
4.883,554.8,-0.006,-8.9,0,135.6,-3.5
4.98,553,-0.002,-11.4,0.0016,135.5,-1.2
5.078,552.6,-0.002,-8.9,0,135.6,-1.2
5.176,553.9,0.008,-10.1,-0.003,135.1,4.7
5.273,552.2,-0.013,-10.1,0,135.5,-7
5.371,549.6,0.002,-10.1,0.0016,135.7,1.2
5.469,546.1,0.004,-8.9,0,135.6,2.3
5.566,542.6,0.006,-8.9,-0.0015,135.4,3.4
5.664,537.4,-0.006,-11.4,-0.0015,135.1,-3.4
5.762,530.9,-0.006,-8.9,0.0016,135.8,-3.3
5.859,522.6,-0.01,-7.6,0,135.8,-5.5
5.957,520,0.002,-8.9,-0.003,135.2,1.1
6.055,513.5,-0.002,-11.4,0.0016,135.5,-1.1
6.152,501.7,0.006,-7.6,0.0046,136.3,3.2
6.25,497,0.002,-6.3,0,135.9,1
6.348,488.7,0.01,-10.1,0.0016,135.7,5.1
6.445,478.7,0.004,-7.6,0.0016,136,2
6.543,469.6,0.008,10.3,0,137.8,3.9
6.641,464.3,0.004,7.7,-0.0015,137.3,2
6.738,453.9,0.008,9,0.0031,138.1,3.8
6.836,442.6,-0.006,11.5,0.0016,138.2,-2.8
6.934,433,0,11.5,0,138,0
7.031,425.2,-0.002,6.4,0.0031,137.8,-0.9
7.129,415.7,-0.008,9,0.0016,137.9,-3.5
7.227,403,0,9,-0.0015,137.5,0
7.324,391.3,0,7.7,0.0016,137.7,0
7.422,383.5,0.002,10.3,0.0031,138.2,0.8
7.52,374.3,0,10.3,0.0016,138,0
7.617,369.6,0,7.7,-0.0015,137.3,0
7.715,357.4,0.01,7.7,-0.003,137.1,3.8
7.813,347,0,9,0.0031,138.1,0
7.91,334.8,0.004,12.8,0.0016,138.3,1.4
8.008,326.1,0.002,9,-0.003,137.3,0.7
8.105,309.6,0.004,6.4,0,137.4,1.3
8.203,298.3,0.002,9,0,137.7,0.6
8.301,286.1,0.002,11.5,0,138,0.6
8.398,267.8,-0.004,9,0,137.7,-1.1
8.496,253.5,0.004,10.3,0.0031,138.2,1.1
8.594,237.8,-0.004,10.3,0,137.8,-1
8.691,223.5,-0.002,9,0,137.7,-0.5
8.789,208.7,0.004,9,0.0031,138.1,0.9
8.887,190,0,11.5,0.0016,138.2,0
8.984,174.3,-0.004,10.3,0.0016,138,-0.7
9.082,155.7,-0.004,5.2,0.0016,137.4,-0.7
9.18,142.6,0.002,7.7,0.0016,137.7,0.3
9.277,129.1,0.004,10.3,0,137.8,0.5
9.375,114.3,0.002,9,0,137.7,0.2
9.473,99.1,0.004,10.3,0.0016,138,0.4
9.57,78.3,-0.004,9,-0.0015,137.5,-0.3
9.668,63,0.004,7.7,-0.0015,137.3,0.3
9.766,43.5,-0.002,7.7,0,137.5,-0.1
9.863,25.2,0,7.7,0.0016,137.7,0
9.961,7,0.008,9,0.0016,137.9,0.1
10.059,-13,0.002,7.7,-0.003,137.1,0
10.156,-35.7,-0.002,6.4,0,137.4,0.1
10.254,-53.9,-0.004,7.7,0,137.5,0.2
10.352,-73.5,0.002,12.8,-0.003,137.7,-0.2
10.449,-92.2,-0.015,7.7,0,137.5,1.4
10.547,-111.3,0,9,0.0016,137.9,0
10.645,-127.8,0,9,-0.003,137.3,0
10.742,-147.4,0.004,7.7,-0.0015,137.3,-0.6
10.84,-163.9,0.002,6.4,0.0016,137.6,-0.3
10.938,-179.1,0.004,11.5,0.0016,138.2,-0.8
11.035,-193,0.004,10.3,0.0016,138,-0.8
11.133,-206.1,-0.002,5.2,0,137.2,0.4
11.23,-219.6,-0.002,7.7,-0.003,137.1,0.5
11.328,-235.2,0.004,7.7,0,137.5,-1
11.426,-250.9,0.004,9,-0.0015,137.5,-1.1
11.523,-262.6,0.008,-11.4,0,135.3,-2.2
11.621,-277.8,0,-12.7,-0.0015,135,0
11.719,-288.7,-0.002,-14,0,135,0.6
11.816,-301.3,0,-15.2,-0.0015,134.7,0
11.914,-310.9,-0.004,-14,0,135,1.3
12.012,-323.9,-0.008,-11.4,0,135.3,2.7
12.109,-336.1,-0.006,-12.7,-0.003,134.8,2.1
12.207,-349.6,0.004,-15.2,0,134.9,-1.5
