Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
0.000		8.7		-0.554		15.5		0.0109		164.5		-4.8						
0.098		25.7		-0.538		18.0		0.0109		164.8		-13.8						
0.195		47.8		-0.508		16.7		0.0079		164.2		-24.3						
0.293		66.5		-0.500		14.2		0.0094		164.1		-33.2						
0.391		85.2		-0.489		16.7		0.0094		164.4		-41.7						
0.488		101.3		-0.468		16.7		0.0079		164.2		-47.4						
0.586		124.3		-0.451		14.2		0.0094		164.1		-56.1						
0.684		143.5		-0.435		15.5		0.0140		165.0		-62.4						
0.781		160.4		-0.401		10.4		0.0094		163.7		-64.3						
0.879		178.3		-0.355		16.7		0.0140		165.1		-63.3						
0.977		191.7		-0.315		16.7		0.0079		164.2		-60.4						
1.074		204.8		-0.286		16.7		0.0094		164.4		-58.5						
1.172		217.0		-0.218		18.0		0.0109		164.8		-47.4						
1.270		233.9		-0.181		18.0		0.0048		163.9		-42.2						
1.367		247.4		-0.067		15.5		0.0048		163.6		-16.6						
1.465		263.5		0.027		12.9		0.0125		164.4		7.2						
1.563		273.5		0.010		16.7		0.0155		165.3		2.9						
1.660		284.8		0.006		5.3		0.0125		163.5		1.8						
1.758		302.6		0.000		16.7		0.0109		164.7		0.0						
1.855		312.2		0.002		16.7		0.0109		164.7		0.7						
1.953		322.6		0.004		14.2		0.0109		164.4		1.4						
2.051		335.2		0.006		15.5		0.0125		164.7		2.1						
2.148		345.2		0.000		16.7		0.0140		165.1		0.0						
2.246		356.5		0.006		18.0		0.0109		164.8		2.2						
2.344		368.7		0.004		15.5		0.0125		164.7		1.5						
2.441		379.6		-0.002		15.5		0.0125		164.7		-0.8						
2.539		388.3		-0.004		15.5		0.0109		164.5		-1.6						
2.637		398.3		0.006		14.2		0.0109		164.4		2.5						
2.734		408.3		0.010		14.2		0.0109		164.4		4.3						
2.832		420.9		-0.004		16.7		0.0125		164.9		-1.8						
2.930		430.0		-0.004		15.5		0.0125		164.7		-1.8						
3.027		439.1		0.004		15.5		0.0109		164.5		1.8						
3.125		450.4		-0.006		15.5		0.0125		164.7		-2.8						
3.223		459.6		-0.004		16.7		0.0140		165.1		-1.9						
3.320		474.8		0.002		16.7		0.0094		164.4		1.0						
3.418		477.4		-0.006		14.2		0.0094		164.1		-3.0						
3.516		489.6		-0.010		11.6		0.0125		164.3		-5.1						
3.613		501.7		-0.006		18.0		0.0171		165.7		-3.2						
3.711		509.6		0.010		14.2		0.0094		164.1		5.3						
3.809		520.0		0.000		16.7		0.0109		164.7		0.0						
3.906		527.0		0.010		16.7		0.0094		164.4		5.5						
4.004		533.5		-0.006		15.5		0.0094		164.3		-3.4						
4.102		541.3		-0.008		15.5		0.0125		164.7		-4.5						
4.199		551.7		0.004		18.0		0.0140		165.3		2.3						
4.297		557.4		-0.008		16.7		0.0094		164.4		-4.7						
4.395		556.1		0.006		16.7		0.0186		165.8		3.5						
4.492		555.7		-0.008		18.0		0.0125		165.0		-4.7						
4.590		559.1		-0.006		15.5		0.0094		164.3		-3.5						
4.688		557.0		0.002		15.5		0.0109		164.5		1.2						
4.785		557.8		-0.002		15.5		0.0094		164.3		-1.2						
4.883		560.9		0.006		14.2		0.0109		164.4		3.5						
4.980		558.3		0.000		16.7		0.0094		164.4		0.0						
5.078		557.8		-0.002		15.5		0.0094		164.3		-1.2						
5.176		560.0		-0.008		15.5		0.0109		164.5		-4.7						
5.273		552.6		-0.006		16.7		0.0140		165.1		-3.5						
5.371		551.7		-0.015		18.0		0.0109		164.8		-8.1						
5.469		545.2		0.004		15.5		0.0079		164.1		2.3						
5.566		545.2		-0.004		12.9		0.0109		164.2		-2.3						
5.664		537.8		0.000		19.3		0.0125		165.2		0.0						
5.762		530.4		0.000		-5.0		0.0094		161.9		0.0						
5.859		525.7		-0.002		14.2		0.0125		164.6		-1.1						
5.957		517.8		0.000		16.7		0.0109		164.7		0.0						
6.055		508.3		-0.010		14.2		0.0094		164.1		-5.3						
6.152		500.9		0.000		14.2		0.0094		164.1		0.0						
6.250		490.9		0.006		19.3		0.0155		165.6		3.1						
6.348		482.6		-0.002		18.0		0.0094		164.6		-1.0						
6.445		474.8		-0.004		16.7		0.0125		164.9		-2.0						
6.543		467.4		0.006		15.5		0.0125		164.7		2.9						
6.641		460.4		0.006		15.5		0.0109		164.5		2.9						
6.738		449.1		0.000		15.5		0.0109		164.5		0.0						
6.836		440.4		0.010		15.5		0.0109		164.5		4.6						
6.934		430.0		-0.006		15.5		0.0125		164.7		-2.7						
7.031		420.0		0.006		16.7		0.0109		164.7		2.6						
7.129		410.9		-0.002		16.7		0.0109		164.7		-0.9						
7.227		401.7		-0.008		15.5		0.0109		164.5		-3.4						
7.324		389.1		0.013		16.7		0.0125		164.9		4.9						
7.422		383.0		0.010		20.6		0.0140		165.6		4.0						
7.520		374.3		0.000		15.5		0.0079		164.1		0.0						
7.617		364.8		-0.004		14.2		0.0125		164.6		-1.5						
7.715		351.7		0.000		19.3		0.0094		164.7		0.0						
7.813		340.9		0.010		12.9		0.0109		164.2		3.6						
7.910		328.3		-0.002		15.5		0.0094		164.3		-0.7						
8.008		316.5		0.002		16.7		0.0109		164.7		0.7						
8.105		304.3		-0.002		16.7		0.0094		164.4		-0.6						
8.203		290.0		0.002		15.5		0.0125		164.7		0.6						
8.301		273.9		0.000		18.0		0.0171		165.7		0.0						
8.398		263.5		0.000		18.0		0.0094		164.6		0.0						
8.496		249.6		-0.004		16.7		0.0002		163.1		-1.0						
8.594		232.2		-0.013		16.7		0.0125		164.9		-2.9						
8.691		215.2		0.004		16.7		0.0094		164.4		0.9						
8.789		199.1		0.000		15.5		0.0079		164.1		0.0						
8.887		184.3		-0.002		16.7		0.0094		164.4		-0.4						
8.984		162.2		0.000		15.5		0.0109		164.5		0.0						
9.082		148.7		-0.004		16.7		0.0094		164.4		-0.6						
9.180		137.4		0.004		16.7		0.0079		164.2		0.6						
9.277		120.4		0.004		15.5		0.0094		164.3		0.5						
9.375		104.3		-0.006		18.0		0.0125		165.0		-0.7						
9.473		86.5		-0.004		16.7		0.0094		164.4		-0.4						
9.570		73.9		0.004		16.7		0.0063		164.0		0.3						
9.668		50.4		0.006		12.9		0.0063		163.5		0.3						
9.766		32.2		0.000		16.7		0.0155		165.3		0.0						
9.863		14.3		0.004		16.7		0.0079		164.2		0.1						
9.961		-3.9		0.013		15.5		0.0094		164.3		0.0						
10.059		-26.1		-0.010		16.7		0.0094		164.4		0.3						
10.156		-46.5		-0.004		12.9		0.0063		163.5		0.2						
10.254		-64.3		-0.002		15.5		0.0094		164.3		0.1						
