Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
0.000		17.0		-0.645		-1.1		0.0003		159.55		-10.9						
0.098		37.0		-0.630		2.7		0.0019		160.21		-23.3						
0.195		56.5		-0.634		10.3		0.0019		161.08		-35.8						
0.293		75.2		-0.622		2.7		0.0019		160.21		-46.7						
0.391		94.8		-0.609		4.0		0.0019		160.35		-57.7						
0.488		114.3		-0.598		2.7		0.0003		159.98		-68.4						
0.586		131.3		-0.586		0.1		0.0003		159.69		-76.9						
0.684		147.0		-0.580		4.0		0.0049		160.81		-85.2						
0.781		166.1		-0.556		5.2		0.0019		160.50		-92.4						
0.879		181.7		-0.563		1.4		-0.0027		159.39		-102.3						
0.977		198.3		-0.542		2.7		0.0034		160.43		-107.4						
1.074		211.7		-0.544		4.0		0.0019		160.35		-115.2						
1.172		225.2		-0.529		2.7		0.0003		159.98		-119.2						
1.270		239.1		-0.517		1.4		0.0019		160.06		-123.5						
1.367		254.8		-0.504		2.7		0.0019		160.21		-128.4						
1.465		270.4		-0.491		4.0		0.0003		160.13		-132.9						
1.563		283.0		-0.481		2.7		0.0003		159.98		-136.1						
1.660		292.6		-0.456		0.1		0.0003		159.69		-133.3						
1.758		306.5		-0.430		1.4		0.0019		160.06		-131.9						
1.855		320.0		-0.437		5.2		0.0019		160.50		-139.8						
1.953		330.9		-0.407		2.7		-0.0012		159.76		-134.8						
2.051		340.9		-0.403		0.1		-0.0012		159.47		-137.4						
2.148		350.9		-0.407		2.7		0.0019		160.21		-142.9						
2.246		360.0		-0.372		6.5		0.0003		160.42		-133.8						
2.344		370.9		-0.372		2.7		0.0034		160.43		-137.8						
2.441		385.2		-0.349		2.7		0.0003		159.98		-134.3						
2.539		394.3		-0.317		0.1		-0.0012		159.47		-125.0						
2.637		405.7		-0.321		1.4		0.0019		160.06		-130.3						
2.734		414.3		-0.281		4.0		0.0049		160.81		-116.6						
2.832		421.3		-0.286		5.2		0.0019		160.50		-120.3						
2.930		431.3		-0.262		1.4		-0.0027		159.39		-113.2						
3.027		444.3		-0.239		-5.0		0.0003		159.11		-106.4						
3.125		452.2		-0.210		4.0		0.0019		160.35		-94.9						
3.223		465.7		-0.212		1.4		-0.0012		159.61		-98.8						
3.320		477.4		-0.199		-1.1		0.0003		159.55		-95.2						
3.418		483.9		-0.176		2.7		0.0019		160.21		-85.4						
3.516		493.9		-0.143		2.7		0.0019		160.21		-70.5						
3.613		503.5		-0.134		1.4		0.0003		159.84		-67.7						
3.711		511.7		-0.099		2.7		-0.0012		159.76		-50.5						
3.809		520.9		-0.092		4.0		0.0019		160.35		-48.1						
3.906		527.0		-0.065		5.2		0.0049		160.95		-34.3						
4.004		535.2		-0.034		5.2		-0.0012		160.05		-18.0						
4.102		542.2		-0.025		1.4		-0.0012		159.61		-13.7						
4.199		548.7		0.006		2.7		0.0065		160.89		3.5						
4.297		552.2		0.036		5.2		0.0049		160.95		19.7						
4.395		557.8		0.055		4.0		0.0049		160.81		30.5						
4.492		556.1		0.069		4.0		0.0049		160.81		38.5						
4.590		557.4		0.105		2.7		0.0019		160.21		58.5						
4.688		559.1		0.134		1.4		0.0019		160.06		75.1						
4.785		554.8		0.147		4.0		0.0049		160.81		81.5						
4.883		558.7		0.164		6.5		0.0034		160.87		91.5						
4.980		553.9		0.181		2.7		-0.0012		159.76		100.0						
5.078		552.2		0.197		-1.1		0.0034		160.00		109.0						
5.176		553.5		0.241		5.2		0.0034		160.73		133.6						
5.273		546.1		0.235		2.7		0.0034		160.43		128.4						
5.371		542.6		0.265		1.4		0.0034		160.29		143.6						
5.469		541.7		0.290		4.0		0.0034		160.58		157.0						
5.566		539.1		0.315		4.0		0.0034		160.58		169.8						
5.664		531.7		0.328		4.0		0.0019		160.35		174.2						
5.762		527.4		0.346		2.7		0.0019		160.21		182.7						
5.859		520.0		0.353		4.0		0.0065		161.03		183.4						
5.957		511.3		0.359		6.5		0.0049		161.10		183.6						
6.055		504.8		0.399		4.0		0.0019		160.35		201.4						
6.152		495.2		0.397		1.4		0.0003		159.84		196.5						
6.250		488.7		0.416		4.0		0.0034		160.58		203.2						
6.348		480.0		0.426		10.3		0.0019		161.08		204.6						
6.445		470.4		0.447		4.0		0.0049		160.81		210.4						
6.543		463.0		0.470		5.2		0.0034		160.73		217.8						
6.641		453.5		0.472		5.2		0.0003		160.27		214.2						
6.738		445.2		0.493		2.7		0.0034		160.43		219.7						
6.836		434.8		0.498		5.2		0.0065		161.18		216.4						
6.934		425.7		0.500		9.1		0.0065		161.62		212.7						
7.031		416.1		0.517		2.7		-0.0027		159.53		214.9						
7.129		407.0		0.508		4.0		0.0049		160.81		206.8						
7.227		391.7		0.540		4.0		0.0034		160.58		211.4						
7.324		387.0		0.548		4.0		0.0019		160.35		212.1						
7.422		377.8		0.554		2.7		0.0034		160.43		209.4						
7.520		370.0		0.582		4.0		0.0034		160.58		215.2						
7.617		361.3		0.577		4.0		0.0049		160.81		208.6						
7.715		346.1		0.588		4.0		0.0019		160.35		203.5						
7.813		337.0		0.609		2.7		0.0034		160.43		205.2						
7.910		323.0		0.617		5.2		0.0049		160.95		199.4						
8.008		313.5		0.630		5.2		0.0049		160.95		197.5						
8.105		302.6		0.655		6.5		0.0019		160.64		198.2						
8.203		286.5		0.666		1.4		0.0003		159.84		190.7						
8.301		270.4		0.670		4.0		0.0049		160.81		181.1						
8.398		253.5		0.678		7.8		0.0019		160.79		171.9						
8.496		240.4		0.680		4.0		0.0049		160.81		163.6						
8.594		223.9		0.693		5.2		0.0034		160.73		155.2						
8.691		208.3		0.701		-5.0		0.0019		159.34		146.1						
8.789		192.2		0.689		-5.0		0.0034		159.56		132.4						
8.887		175.2		0.687		-3.7		0.0049		159.93		120.3						
8.984		154.8		0.697		-1.1		0.0049		160.22		107.9						
9.082		139.1		0.697		-3.7		-0.0012		159.03		97.0						
9.180		123.9		0.697		-3.7		0.0034		159.71		86.4						
9.277		111.7		0.680		-2.4		0.0034		159.85		76.0						
9.375		96.1		0.691		-3.7		0.0019		159.48		66.4						
9.473		81.7		0.689		-3.7		0.0034		159.71		56.3						
9.570		65.7		0.674		-3.7		0.0019		159.48		44.3						
9.668		43.5		0.680		-5.0		0.0034		159.56		29.6						
9.766		24.3		0.668		-3.7		0.0019		159.48		16.3						
9.863		7.4		0.666		-5.0		0.0019		159.34		4.9						
9.961		-13.9		0.643		-3.7		0.0034		159.71		-8.9						
10.059		-32.6		0.640		-2.4		0.0049		160.08		-20.9						
10.156		-51.7		0.638		-2.4		0.0019		159.63		-33.0						
10.254		-70.0		0.613		-6.3		-0.0027		158.52		-42.9						
