Time ,E1,I1,AI8,AI7,Pm,P1
0,7.4,-1.333,-19.4,0.005,242.8,-9.9
0.098,26.1,-1.314,1.1,0.005,247.8,-34.3
0.195,43,-1.272,1.1,0.008,248.2,-54.8
0.293,57.4,-1.243,2.3,0.0065,248.3,-71.3
0.391,77,-1.216,2.3,0.0065,248.3,-93.6
0.488,92.6,-1.178,-0.2,0.005,247.5,-109.1
0.586,110,-1.151,1.1,0.0096,248.3,-126.6
0.684,130,-1.113,3.6,0.008,248.8,-144.7
0.781,143.5,-1.088,3.6,0.008,248.8,-156.1
0.879,154.8,-1.039,-2.8,0.0065,247,-160.9
0.977,168.3,-1.012,2.3,0.0019,247.8,-170.3
1.074,181.3,-0.974,1.1,0.005,247.8,-176.6
1.172,192.2,-0.939,1.1,0.0065,248,-180.4
1.27,206.1,-0.913,2.3,0.005,248.1,-188.2
1.367,217.8,-0.88,1.1,0.005,247.8,-191.6
1.465,233.5,-0.848,-0.2,0.0034,247.4,-198.1
1.563,242.6,-0.8,2.3,0.0096,248.6,-194.1
1.66,256.1,-0.779,3.6,0.0065,248.6,-199.5
1.758,264.3,-0.733,3.6,0.0034,248.3,-193.7
1.855,275.2,-0.678,2.3,0.005,248.1,-186.7
1.953,285.7,-0.647,3.6,0.005,248.5,-184.7
2.051,294.8,-0.607,-60.2,0.005,232.6,-178.9
2.148,308.3,-0.569,3.6,0.0065,248.6,-175.4
2.246,318.3,-0.525,3.6,0.008,248.8,-167.1
2.344,323.5,-0.47,3.6,0.0065,248.6,-152.1
2.441,335.7,-0.422,3.6,0.0034,248.3,-141.7
2.539,343.9,-0.393,2.3,0.0034,248,-135
2.637,354.3,-0.34,2.3,0.0065,248.3,-120.5
2.734,361.7,-0.294,7.4,0.0034,249.3,-106.3
2.832,372.6,-0.237,4.9,0.0019,248.5,-88.4
2.93,379.6,-0.206,2.3,0.0019,247.8,-78.1
3.027,389.1,-0.16,4.9,-0.0012,248.1,-62.1
3.125,399.1,-0.101,3.6,0.0019,248.1,-40.2
3.223,403.9,-0.044,3.6,0.0004,248,-17.8
3.32,419.6,-0.002,3.6,0.005,248.5,-0.9
3.418,428.7,0.052,3.6,0.0019,248.1,22.5
3.516,434.3,0.103,2.3,0.0034,248,44.7
3.613,444.8,0.153,4.9,0.0065,248.9,68.2
3.711,452.2,0.202,7.4,0.0065,249.6,91.1
3.809,457,0.258,3.6,0.0004,248,118
3.906,463.5,0.3,-0.2,0.0019,247.2,139.2
4.004,470.4,0.34,3.6,0.0019,248.1,160
4.102,482.2,0.388,-2.8,0.0034,246.7,187.3
4.199,487.4,0.443,4.9,0.005,248.8,215.9
4.297,487,0.493,3.6,0.005,248.5,240.3
4.395,488.7,0.527,3.6,0.005,248.5,257.6
4.492,490.4,0.575,4.9,0.0034,248.6,282.2
4.59,494.3,0.628,3.6,0.0034,248.3,310.4
4.688,493.5,0.661,3.6,0.005,248.5,326.4
4.785,495.2,0.691,6.2,0.008,249.4,342.1
4.883,494.3,0.752,6.2,0.005,249.1,371.6
4.98,497.4,0.792,1.1,0.005,247.8,393.7
5.078,493.9,0.823,4.9,0.0019,248.5,406.5
5.176,489.6,0.871,3.6,0.0034,248.3,426.6
5.273,488.7,0.911,3.6,0.0034,248.3,445.3
5.371,487,0.953,4.9,0.0034,248.6,464.2
5.469,485.7,0.985,4.9,0.0019,248.5,478.3
5.566,480.4,1.02,2.3,0.0019,247.8,490.3
5.664,474.8,1.065,3.6,0.0065,248.6,505.4
5.762,470.4,1.079,6.2,0.0034,248.9,507.7
5.859,467.4,1.136,4.9,-0.0012,248.1,530.9
5.957,459.1,1.174,-0.2,-0.0042,246.6,538.9
6.055,451.7,1.197,-0.2,-0.0226,244.6,540.7
6.152,446.5,1.224,-16.8,0.0034,243.2,546.6
6.25,440,1.241,3.6,0.005,248.5,546
6.348,430.4,1.27,4.9,0.005,248.8,546.8
6.445,421.7,1.302,6.2,0.0034,248.9,549
6.543,415.2,1.31,4.9,0.0019,248.5,544
6.641,409.1,1.333,3.6,0.0019,248.1,545.5
6.738,398.7,1.361,2.3,0.005,248.1,542.5
6.836,390,1.386,4.9,0.0065,248.9,540.5
6.934,385.7,1.403,3.6,0.005,248.5,540.9
7.031,375.2,1.434,1.1,0.0034,247.7,538.1
7.129,368.3,1.455,3.6,0.0019,248.1,535.9
