Time ,E1,I1,AI8,AI7,Pm,P1
0,10.9,-0.113,-1.7,-0.0013,160.6,-1.2
0.098,30.9,-0.09,-1.7,-0.0013,160.6,-2.8
0.195,49.1,-0.078,-1.7,-0.0013,160.6,-3.8
0.293,67,-0.057,-1.7,-0.0013,160.6,-3.8
0.391,83.5,-0.042,-0.4,0.0003,160.2,-3.5
0.488,102.6,-0.023,-0.4,-0.0013,160.4,-2.4
0.586,119.6,0.004,-2.9,0.0003,160.5,0.5
0.684,132.6,0.008,-2.9,0.0033,160,1.1
0.781,147.4,0.029,-0.4,0.0049,159.5,4.3
0.879,163.9,0.061,-0.4,0.0018,160,10
0.977,177.8,0.078,-0.4,-0.0059,161.1,13.8
1.074,191.3,0.122,-0.4,0.0033,159.7,23.3
1.172,206.1,0.143,-1.7,0.0003,160.3,29.4
1.27,216.5,0.147,-1.7,0.0049,159.7,31.8
1.367,229.1,0.166,-0.4,0.0049,159.5,38
1.465,243.5,0.199,-0.4,0.0018,160,48.6
1.563,256.5,0.199,-1.7,0.0018,160.1,51.2
1.66,266.1,0.235,-1.7,0.0033,159.9,62.6
1.758,277.8,0.248,2.2,0.0003,159.9,68.8
1.855,286.5,0.273,-2.9,0.0018,160.3,78.2
1.953,297,0.286,-2.9,0.0033,160,84.8
2.051,307,0.313,-2.9,0.0018,160.3,96
2.148,314.3,0.325,-4.2,0.0018,160.4,102.3
2.246,324.8,0.349,-5.5,0.0033,160.3,113.2
2.344,334.3,0.361,-4.2,0.0033,160.2,120.8
2.441,344.8,0.384,-2.9,0.0033,160,132.5
2.539,359.6,0.391,-2.9,0.0018,160.3,140.4
2.637,365.2,0.409,-5.5,0.0003,160.8,149.5
2.734,377.4,0.424,-6.8,0.0018,160.7,160.1
2.832,385.7,0.433,-2.9,0.0049,159.8,166.8
2.93,395.2,0.435,-2.9,0.0003,160.5,171.8
3.027,401.3,0.449,-2.9,-0.0227,163.8,180.3
3.125,411.3,0.454,-2.9,0.0033,160,186.5
3.223,421.7,0.477,-2.9,0.0018,160.3,201
3.32,431.7,0.475,-8,0.0049,160.4,204.9
3.418,441.3,0.496,-1.7,0.0049,159.7,218.7
3.516,448.7,0.493,-2.9,0.0033,160,221.4
3.613,457.4,0.525,-5.5,0.0033,160.3,240.1
3.711,461.7,0.521,-5.5,0.0033,160.3,240.4
3.809,469.1,0.533,0.9,0.0033,159.6,250.2
3.906,481.3,0.538,-4.2,0.0033,160.2,258.7
4.004,487.8,0.559,-4.2,0.0033,160.2,272.5
4.102,493,0.559,-4.2,0.0033,160.2,275.4
4.199,500.4,0.59,-4.2,0.0033,160.2,295.3
4.297,507,0.596,-4.2,0.0033,160.2,302.3
4.395,504.8,0.611,-4.2,0.0049,160,308.4
4.492,505.7,0.622,-2.9,0.0049,159.8,314.3
4.59,503,0.632,-2.9,0.0033,160,317.9
4.688,503.5,0.622,-5.5,0.0018,160.6,312.9
4.785,507,0.649,-4.2,0.0049,160,328.9
4.883,507.8,0.666,-0.4,0.0079,159.1,338
4.98,506.1,0.651,-2.9,0.0018,160.3,329.4
5.078,504.3,0.655,-2.9,0.0018,160.3,330.4
5.176,501.3,0.68,-1.7,0.0049,159.7,341
5.273,496.5,0.678,-2.9,0.0033,160,336.7
5.371,495.2,0.661,-2.9,0.0049,159.8,327.5
5.469,488.3,0.682,-1.7,0.0064,159.4,333.2
5.566,485.2,0.668,-1.7,0.0049,159.7,324
5.664,479.6,0.676,-4.2,0.0033,160.2,324.2
5.762,478.7,0.68,-6.8,0.0049,160.3,325.7
5.859,472.2,0.664,2.2,0.0049,159.2,313.3
5.957,465.7,0.666,-1.7,0.0033,159.9,309.9
6.055,457,0.674,-2.9,0.0049,159.8,308
6.152,450.4,0.666,-2.9,0.0064,159.6,299.8
6.25,437.4,0.655,-1.7,0.0049,159.7,286.5
6.348,430.9,0.645,-2.9,0.0033,160,277.7
6.445,425.2,0.634,-2.9,0.0064,159.6,269.6
6.543,415.7,0.63,-2.9,0.0049,159.8,261.8
6.641,410.9,0.628,-1.7,0.0049,159.7,258
6.738,401.3,0.63,-1.7,0.0018,160.1,252.8
6.836,390.9,0.596,-2.9,0.0049,159.8,233.1
6.934,383.5,0.59,-0.4,0.0079,159.1,226.3
7.031,374.3,0.59,0.9,0.0049,159.4,220.9
7.129,365.7,0.563,-1.7,-0.0043,161,205.8
7.227,353.5,0.571,-0.4,0.0064,159.3,201.9
7.324,348.3,0.54,-0.4,0.0064,159.3,187.9
7.422,337.4,0.531,-1.7,0.0049,159.7,179.2
7.52,331.7,0.535,-0.4,0.0079,159.1,177.6
7.617,322.6,0.512,2.2,0.0064,159,165.3
7.715,313.5,0.502,-1.7,0.0049,159.7,157.3
7.813,304.3,0.491,-1.7,0.0049,159.7,149.5
7.91,291.7,0.468,2.2,0.0049,159.2,136.6
8.008,277.8,0.458,-1.7,0.0064,159.4,127.2
8.105,267.4,0.454,-1.7,0.0079,159.2,121.3
8.203,255.2,0.437,-0.4,0.0064,159.3,111.5
8.301,241.3,0.42,-0.4,0.0064,159.3,101.3
8.398,228.3,0.405,-1.7,0.0049,159.7,92.5
8.496,213,0.38,-1.7,0.0064,159.4,81
8.594,199.6,0.367,-0.4,0.0064,159.3,73.3
8.691,183.9,0.353,0.9,0.0064,159.2,64.9
8.789,170.9,0.332,-2.9,0.0018,160.3,56.7
8.887,152.2,0.321,-4.2,0.0049,160,48.9
8.984,137.8,0.302,-0.4,0.0079,159.1,41.7
9.082,126.1,0.286,0.9,0.0049,159.4,36
9.18,111.3,0.26,-1.7,0.0003,160.3,29
9.277,99.6,0.246,-1.7,0.0049,159.7,24.5
9.375,85.2,0.223,-1.7,0.0033,159.9,19
9.473,67,0.212,-2.9,0.0064,159.6,14.2
9.57,51.7,0.193,-1.7,0.0079,159.2,10
9.668,35.2,0.17,-0.4,0.0049,159.5,6
9.766,15.2,0.149,-4.2,0.0033,160.2,2.3
9.863,-3.5,0.139,-4.2,0.0033,160.2,-0.5
9.961,-20.4,0.118,-0.4,0.0049,159.5,-2.4
10.059,-35.2,0.101,-2.9,0.0049,159.8,-3.5
10.156,-55.2,0.076,-2.9,0.0049,159.8,-4.2
10.254,-70.9,0.055,-1.7,0.0049,159.7,-3.9
10.352,-88.3,0.027,-1.7,0.0049,159.7,-2.4
10.449,-103.9,-0.002,-2.9,0.0033,160,0.2
10.547,-122.2,-0.021,-2.9,0.0003,160.5,2.6
10.645,-140,-0.04,-1.7,0.0018,160.1,5.6
10.742,-157,-0.059,-1.7,0.0003,160.3,9.2
10.84,-167.8,-0.084,-4.2,-0.0013,160.9,14.1
10.938,-181.3,-0.097,-5.5,0.0003,160.8,17.5
11.035,-195.2,-0.126,-2.9,0.0018,160.3,24.6
11.133,-207,-0.141,-4.2,0.0003,160.6,29.1
11.23,-221.7,-0.153,-2.9,-0.0013,160.7,34
11.328,-232.6,-0.174,-0.4,0.0003,160.2,40.5
