Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
0.000		7.8		-1.016		4.9		0.0009		53.6		-8.0						
0.098		18.3		-0.970		3.7		0.0024		53.6		-17.7						
0.195		27.4		-0.945		3.7		0.0039		53.7		-25.9						
0.293		36.1		-0.936		6.2		0.0009		53.7		-33.8						
0.391		46.5		-0.928		3.7		-0.0007		53.4		-43.2						
0.488		53.9		-0.903		-0.2		0.0009		53.2		-48.7						
0.586		64.8		-0.899		6.2		0.0055		54.0		-58.2						
0.684		69.6		-0.882		4.9		0.0009		53.6		-61.3						
0.781		81.7		-0.859		2.4		0.0009		53.4		-70.2						
0.879		87.4		-0.842		4.9		0.0009		53.6		-73.6						
0.977		96.1		-0.815		4.9		0.0024		53.7		-78.3						
1.074		105.7		-0.800		4.9		-0.0007		53.5		-84.5						
1.172		112.2		-0.766		2.4		0.0009		53.4		-86.0						
1.270		115.7		-0.739		3.7		0.0024		53.6		-85.5						
1.367		123.5		-0.737		6.2		0.0024		53.8		-91.0						
1.465		130.9		-0.703		6.2		0.0039		53.9		-92.1						
1.563		137.0		-0.674		1.1		-0.0007		53.2		-92.3						
1.660		143.9		-0.655		3.7		0.0009		53.5		-94.3						
1.758		150.0		-0.628		3.7		-0.0007		53.4		-94.2						
1.855		154.3		-0.609		3.7		0.0024		53.6		-94.0						
1.953		161.3		-0.580		4.9		-0.0007		53.5		-93.5						
2.051		167.8		-0.556		3.7		-0.0007		53.4		-93.4						
2.148		171.3		-0.538		3.7		-0.0007		53.4		-92.1						
2.246		177.4		-0.508		4.9		0.0039		53.8		-90.1						
2.344		181.7		-0.479		6.2		0.0009		53.7		-87.0						
2.441		187.8		-0.449		2.4		-0.0022		53.2		-84.4						
2.539		192.6		-0.418		1.1		-0.0007		53.2		-80.5						
2.637		200.0		-0.397		4.9		0.0055		53.9		-79.4						
2.734		204.3		-0.355		6.2		-0.0007		53.6		-72.5						
2.832		210.0		-0.330		3.7		0.0009		53.5		-69.2						
2.930		213.9		-0.294		2.4		0.0009		53.4		-62.9						
3.027		219.6		-0.258		4.9		0.0024		53.7		-56.7						
3.125		223.0		-0.225		4.9		-0.0007		53.5		-50.1						
3.223		226.5		-0.195		2.4		-0.0007		53.3		-44.2						
3.320		232.2		-0.157		2.4		0.0009		53.4		-36.6						
3.418		234.8		-0.122		6.2		0.0009		53.7		-28.6						
3.516		239.6		-0.082		3.7		-0.0007		53.4		-19.6						
3.613		246.5		-0.055		1.1		-0.0007		53.2		-13.5						
3.711		249.1		-0.010		4.9		0.0024		53.7		-2.6						
3.809		251.7		0.031		3.7		0.0024		53.6		7.9						
3.906		257.8		0.055		1.1		0.0039		53.5		14.1						
4.004		261.3		0.088		2.4		0.0039		53.6		23.0						
4.102		265.7		0.136		3.7		0.0024		53.6		36.3						
4.199		270.4		0.176		2.4		0.0024		53.5		47.7						
4.297		267.4		0.208		3.7		0.0039		53.7		55.6						
4.395		272.2		0.237		4.9		0.0070		54.0		64.6						
4.492		273.0		0.283		3.7		0.0024		53.6		77.4						
4.590		268.7		0.302		-0.2		0.0039		53.4		81.2						
4.688		270.0		0.338		2.4		0.0070		53.8		91.3						
4.785		270.9		0.370		8.8		0.0039		54.1		100.1						
4.883		270.0		0.397		3.7		0.0024		53.6		107.1						
4.980		270.0		0.416		2.4		0.0055		53.7		112.3						
5.078		273.5		0.445		3.7		0.0055		53.8		121.7						
5.176		270.4		0.472		3.7		0.0039		53.7		127.8						
5.273		268.7		0.517		2.4		0.0024		53.5		138.8						
5.371		267.8		0.538		3.7		0.0055		53.8		144.0						
5.469		261.3		0.563		6.2		0.0070		54.1		147.0						
5.566		260.9		0.582		6.2		0.0055		54.0		151.7						
5.664		258.3		0.611		1.1		0.0039		53.5		157.8						
5.762		256.1		0.647		4.9		0.0039		53.8		165.6						
5.859		255.2		0.661		3.7		0.0039		53.7		168.8						
5.957		249.1		0.695		3.7		0.0055		53.8		173.1						
6.055		245.7		0.716		3.7		0.0039		53.7		175.9						
6.152		240.4		0.731		2.4		0.0024		53.5		175.7						
6.250		240.0		0.756		2.4		0.0039		53.6		181.4						
6.348		233.9		0.775		3.7		0.0070		53.9		181.2						
6.445		227.8		0.787		4.9		0.0055		53.9		179.4						
6.543		222.6		0.819		3.7		0.0024		53.6		182.3						
6.641		220.4		0.842		1.1		0.0039		53.5		185.6						
6.738		217.0		0.869		3.7		0.0070		53.9		188.6						
6.836		210.9		0.882		8.8		0.0039		54.1		186.0						
6.934		206.1		0.909		3.7		0.0024		53.6		187.4						
7.031		200.0		0.926		4.9		0.0039		53.8		185.2						
7.129		196.5		0.939		3.7		0.0070		53.9		184.5						
7.227		189.1		0.953		4.9		0.0055		53.9		180.3						
7.324		185.2		0.976		3.7		0.0039		53.7		180.8						
7.422		180.4		0.985		2.4		0.0039		53.6		177.7						
7.520		177.4		0.993		6.2		0.0070		54.1		176.2						
7.617		173.5		1.012		4.9		0.0039		53.8		175.6						
7.715		167.4		1.039		2.4		0.0039		53.6		174.0						
7.813		160.0		1.060		3.7		0.0039		53.7		169.7						
7.910		153.0		1.056		3.7		0.0039		53.7		161.6						
8.008		151.3		1.075		3.7		0.0039		53.7		162.7						
8.105		144.8		1.077		3.7		0.0055		53.8		156.0						
8.203		138.3		1.073		4.9		0.0039		53.8		148.3						
8.301		128.7		1.094		3.7		0.0055		53.8		140.8						
8.398		126.1		1.092		2.4		0.0055		53.7		137.7						
8.496		117.4		1.104		6.2		0.0055		54.0		129.7						
8.594		107.0		1.102		3.7		0.0024		53.6		117.9						
8.691		99.6		1.119		1.1		0.0024		53.4		111.4						
8.789		92.2		1.125		2.4		0.0055		53.7		103.7						
8.887		80.9		1.111		10.0		0.0039		54.2		89.8						
8.984		72.6		1.102		3.7		0.0039		53.7		80.0						
9.082		69.1		1.088		3.7		0.0039		53.7		75.2						
9.180		60.0		1.090		4.9		0.0039		53.8		65.4						
9.277		52.2		1.077		3.7		0.0024		53.6		56.2						
9.375		43.5		1.079		1.1		0.0024		53.4		46.9						
9.473		36.5		1.067		2.4		0.0055		53.7		39.0						
9.570		29.6		1.052		4.9		0.0055		53.9		31.1						
9.668		20.9		1.039		3.7		0.0024		53.6		21.7						
9.766		10.4		1.037		4.9		0.0039		53.8		10.8						
9.863		0.0		1.035		2.4		0.0024		53.5		0.0						
9.961		-7.4		1.010		3.7		0.0039		53.7		-7.5						
10.059		-18.7		0.987		2.4		0.0024		53.5		-18.5						
10.156		-27.0		0.968		3.7		0.0039		53.7		-26.1						
10.254		-35.2		0.955		3.7		0.0024		53.6		-33.6						
