Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
0.000		4.8		-1.564		11.9		-0.0083		237.9		-7.5						
0.098		21.3		-1.520		11.9		-0.0098		237.8		-32.4						
0.195		40.4		-1.499		10.6		-0.0098		237.4		-60.6						
0.293		56.5		-1.464		9.3		-0.0098		237.1		-82.7						
0.391		73.9		-1.424		10.6		-0.0083		237.6		-105.2						
0.488		86.5		-1.386		10.6		-0.0083		237.6		-119.9						
0.586		107.8		-1.344		10.6		-0.0098		237.4		-144.9						
0.684		123.0		-1.310		9.3		-0.0098		237.1		-161.2						
0.781		138.3		-1.279		10.6		-0.0068		237.7		-176.8						
0.879		153.0		-1.233		13.1		-0.0083		238.2		-188.6						
0.977		166.5		-1.203		10.6		-0.0114		237.3		-200.4						
1.074		179.6		-1.161		8.0		-0.0098		236.7		-208.5						
1.172		193.5		-1.069		9.3		-0.0114		236.9		-206.8						
1.270		204.3		-1.075		-3.5		-0.0083		233.8		-219.7						
1.367		217.0		-1.054		9.3		-0.0098		237.1		-228.7						
1.465		228.3		-0.999		9.3		-0.0098		237.1		-228.1						
1.563		243.9		-0.966		9.3		-0.0083		237.2		-235.6						
1.660		255.2		-0.928		10.6		-0.0083		237.6		-236.9						
1.758		265.2		-0.880		9.3		-0.0098		237.1		-233.3						
1.855		274.3		-0.823		8.0		-0.0068		237.0		-225.8						
1.953		285.7		-0.785		11.9		-0.0052		238.2		-224.3						
2.051		297.8		-0.727		10.6		-0.0114		237.3		-216.4						
2.148		307.0		-0.674		8.0		-0.0098		236.7		-206.9						
2.246		317.8		-0.622		9.3		-0.0098		237.1		-197.5						
2.344		327.8		-0.577		6.8		-0.0098		236.4		-189.3						
2.441		335.2		-0.521		8.0		-0.0083		236.9		-174.6						
2.539		342.6		-0.462		8.0		-0.0098		236.7		-158.3						
2.637		357.0		-0.414		8.0		-0.0114		236.6		-147.7						
2.734		361.3		-0.353		6.8		-0.0114		236.2		-127.5						
2.832		370.9		-0.298		8.0		-0.0083		236.9		-110.6						
2.930		381.3		-0.254		9.3		-0.0098		237.1		-96.9						
3.027		390.0		-0.181		8.0		-0.0129		236.4		-70.4						
3.125		400.4		-0.122		5.5		-0.0114		235.9		-48.8						
3.223		405.7		-0.071		6.8		-0.0114		236.2		-29.0						
3.320		418.7		-0.031		0.4		-0.0114		234.5		-13.2						
3.418		426.5		0.025		6.8		-0.0083		236.5		10.7						
3.516		437.8		0.086		6.8		-0.0052		236.8		37.7						
3.613		443.5		0.143		9.3		-0.0037		237.6		63.3						
3.711		453.0		0.212		9.3		-0.0068		237.4		96.1						
3.809		460.9		0.265		6.8		-0.0083		236.5		121.9						
3.906		470.0		0.319		6.8		-0.0052		236.8		150.0						
4.004		473.9		0.382		9.3		-0.0006		237.9		181.1						
4.102		480.0		0.443		10.6		-0.0068		237.7		212.7						
4.199		487.8		0.500		9.3		-0.0083		237.2		243.8						
4.297		489.6		0.554		8.0		-0.0083		236.9		271.4						
4.395		493.5		0.605		8.0		-0.0083		236.9		298.4						
4.492		492.2		0.664		8.0		-0.0052		237.1		326.6						
4.590		494.3		0.701		6.8		-0.0068		236.7		346.7						
4.688		497.0		0.750		8.0		-0.0083		236.9		372.5						
4.785		496.5		0.804		5.5		-0.0083		236.2		399.3						
4.883		493.9		0.850		6.8		-0.0068		236.7		420.0						
4.980		496.1		0.888		10.6		-0.0068		237.7		440.6						
5.078		498.3		0.928		8.0		-0.0129		236.4		462.4						
5.176		492.6		0.983		2.9		-0.0175		234.6		484.1						
5.273		491.3		1.023		1.7		-0.0435		231.9		502.4						
5.371		485.2		1.079		-18.8		-0.0052		229.9		523.7						
5.469		483.5		1.115		6.8		-0.0098		236.4		539.1						
5.566		479.6		1.161		6.8		-0.0083		236.5		556.8						
5.664		475.7		1.214		6.8		-0.0037		236.9		577.3						
5.762		474.3		1.243		9.3		-0.0068		237.4		589.6						
5.859		464.3		1.283		6.8		-0.0083		236.5		595.7						
5.957		460.4		1.338		8.0		-0.0068		237.0		615.8						
6.055		452.6		1.350		10.6		-0.0022		238.1		611.1						
6.152		446.5		1.401		10.6		-0.0068		237.7		625.4						
6.250		437.0		1.417		9.3		-0.0068		237.4		619.3						
6.348		430.9		1.457		8.0		-0.0098		236.7		627.9						
6.445		422.6		1.480		13.1		-0.0083		238.2		625.6						
6.543		417.0		1.516		8.0		-0.0068		237.0		632.1						
6.641		408.3		1.548		9.3		-0.0068		237.4		631.8						
6.738		400.4		1.587		8.0		-0.0098		236.7		635.7						
6.836		391.7		1.592		6.8		-0.0098		236.4		623.5						
6.934		383.0		1.625		8.0		-0.0068		237.0		622.5						
7.031		375.7		1.640		9.3		-0.0068		237.4		616.0						
7.129		365.2		1.671		8.0		-0.0129		236.4		610.4						
7.227		358.7		1.676		2.9		-0.0190		234.5		601.0						
7.324		349.1		1.688		0.4		-0.0435		231.6		589.4						
7.422		337.0		1.720		-21.3		-0.0083		228.9		579.5						
7.520		330.4		1.728		6.8		-0.0098		236.4		571.0						
7.617		321.7		1.745		6.8		-0.0068		236.7		561.4						
7.715		317.0		1.757		8.0		-0.0052		237.1		557.0						
7.813		308.3		1.778		9.3		-0.0068		237.4		548.2						
7.910		295.2		1.802		6.8		-0.0083		236.5		531.9						
8.008		286.1		1.799		5.5		-0.0068		236.3		514.8						
8.105		275.2		1.820		8.0		-0.0052		237.1		501.0						
8.203		263.5		1.823		11.9		-0.0068		238.0		480.2						
8.301		251.3		1.818		5.5		-0.0098		236.0		457.0						
8.398		235.7		1.837		8.0		-0.0083		236.9		433.0						
8.496		221.7		1.831		52.7		-0.0083		248.9		406.0						
8.594		208.3		1.848		6.8		-0.0083		236.5		384.8						
8.691		195.7		1.827		8.0		-0.0083		236.9		357.4						
8.789		179.1		1.820		6.8		-0.0098		236.4		326.1						
8.887		162.6		1.795		5.5		-0.0098		236.0		291.9						
8.984		146.1		1.778		5.5		-0.0083		236.2		259.8						
9.082		133.9		1.768		8.0		-0.0068		237.0		236.8						
9.180		121.7		1.753		9.3		-0.0098		237.1		213.4						
9.277		105.7		1.739		5.5		-0.0114		235.9		183.7						
9.375		94.3		1.720		4.2		-0.0098		235.7		162.2						
9.473		80.4		1.694		4.2		-0.0083		235.8		136.3						
9.570		63.9		1.676		5.5		-0.0068		236.3		107.1						
9.668		47.8		1.650		4.2		-0.0083		235.8		78.9						
9.766		32.6		1.608		8.0		-0.0037		237.3		52.4						
9.863		13.9		1.594		8.0		-0.0083		236.9		22.2						
9.961		-0.9		1.581		6.8		-0.0098		236.4		-1.4						
10.059		-21.7		1.533		4.2		-0.0068		236.0		-33.3						
