Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.21		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		AI8		AI7		Pm		P1		Off		Off		
(ms)		(V)		(A)		(r/min)		(N·m)		(W)		(W)		()		()		
0.000		5.7		-0.088		-1.3		0.0017		188.5		-0.5						
0.098		25.2		-0.067		-1.3		0.0033		188.3		-1.7						
0.195		40.9		-0.029		0.0		0.0002		188.6		-1.2						
0.293		60.0		-0.015		-2.6		0.0063		188.1		-0.9						
0.391		77.0		0.004		-2.6		0.0063		188.1		0.3						
0.488		96.5		0.023		1.2		0.0063		187.5		2.2						
0.586		109.6		0.057		0.0		0.0033		188.1		6.2						
0.684		126.5		0.071		-2.6		0.0063		188.1		9.0						
0.781		141.3		0.092		-1.3		0.0048		188.1		13.1						
0.879		156.5		0.128		3.8		0.0048		187.4		20.0						
0.977		171.3		0.134		-1.3		0.0048		188.1		23.0						
1.074		186.1		0.172		-1.3		0.0048		188.1		32.0						
1.172		197.4		0.208		0.0		0.0048		187.9		41.0						
1.270		211.3		0.229		0.0		0.0048		187.9		48.4						
1.367		225.2		0.254		-1.3		0.0033		188.3		57.2						
1.465		238.7		0.273		-1.3		0.0048		188.1		65.2						
1.563		248.7		0.298		-1.3		0.0063		187.9		74.2						
1.660		259.1		0.317		-1.3		0.0048		188.1		82.2						
1.758		275.2		0.344		-2.6		0.0033		188.5		94.8						
1.855		285.7		0.355		-2.6		0.0063		188.1		101.4						
1.953		296.5		0.376		1.2		0.0063		187.5		111.4						
2.051		307.4		0.405		0.0		0.0048		187.9		124.6						
2.148		314.8		0.420		0.0		0.0079		187.5		132.2						
2.246		325.2		0.439		-1.3		0.0048		188.1		142.7						
2.344		333.5		0.456		-1.3		0.0048		188.1		151.9						
2.441		343.9		0.487		-1.3		0.0063		187.9		167.5						
2.539		352.2		0.502		1.2		0.0063		187.5		176.7						
2.637		361.7		0.508		-1.3		0.0033		188.3		183.8						
2.734		372.6		0.531		-2.6		0.0033		188.5		197.9						
2.832		380.4		0.544		-2.6		0.0048		188.3		206.9						
2.930		390.0		0.548		3.8		0.0033		187.6		213.7						
3.027		397.4		0.552		-1.3		0.0033		188.3		219.5						
3.125		407.4		0.571		-1.3		0.0048		188.1		232.7						
3.223		417.0		0.586		1.2		0.0063		187.5		244.3						
3.320		430.9		0.596		2.5		0.0048		187.6		256.9						
3.418		439.1		0.603		-1.3		0.0033		188.3		264.6						
3.516		444.3		0.615		0.0		0.0048		187.9		273.4						
3.613		452.6		0.640		0.0		0.0048		187.9		289.9						
3.711		461.7		0.664		1.2		0.0033		188.0		306.4						
3.809		473.0		0.653		-2.6		0.0033		188.5		308.9						
3.906		479.6		0.664		-1.3		0.0033		188.3		318.2						
4.004		487.0		0.680		2.5		0.0079		187.1		331.3						
4.102		491.7		0.682		0.0		0.0033		188.1		335.6						
4.199		497.4		0.682		1.2		0.0048		187.8		339.4						
4.297		503.0		0.706		0.0		0.0048		187.9		354.9						
4.395		507.4		0.727		0.0		0.0048		187.9		368.6						
4.492		505.7		0.735		0.0		0.0063		187.7		371.6						
4.590		503.9		0.743		2.5		0.0079		187.1		374.6						
4.688		504.3		0.756		2.5		0.0048		187.6		381.2						
4.785		501.7		0.762		-1.3		0.0063		187.9		382.4						
4.883		503.5		0.773		1.2		0.0048		187.8		389.0						
4.980		507.0		0.781		3.8		0.0063		187.2		396.0						
5.078		503.9		0.777		1.2		0.0048		187.8		391.5						
5.176		503.0		0.773		1.2		0.0048		187.8		388.7						
5.273		500.0		0.779		1.2		0.0063		187.5		389.5						
5.371		492.2		0.771		1.2		0.0048		187.8		379.3						
5.469		491.3		0.783		1.2		0.0048		187.8		384.8						
5.566		487.8		0.785		1.2		0.0063		187.5		383.1						
5.664		484.8		0.771		1.2		0.0063		187.5		373.6						
5.762		478.7		0.773		2.5		0.0048		187.6		369.9						
5.859		475.2		0.794		1.2		0.0033		188.0		377.2						
5.957		463.5		0.769		0.0		0.0063		187.7		356.2						
6.055		457.4		0.771		5.1		0.0094		186.6		352.5						
6.152		450.0		0.766		1.2		0.0048		187.8		344.9						
6.250		443.9		0.741		2.5		-0.0013		188.4		329.0						
6.348		433.0		0.735		2.5		0.0079		187.1		318.2						
6.445		425.7		0.716		2.5		0.0048		187.6		304.8						
6.543		416.5		0.716		0.0		0.0063		187.7		298.2						
6.641		410.9		0.699		3.8		0.0079		187.0		287.3						
6.738		404.8		0.695		3.8		0.0079		187.0		281.3						
6.836		393.5		0.682		1.2		0.0033		188.0		268.5						
6.934		390.0		0.668		1.2		0.0063		187.5		260.4						
7.031		380.0		0.655		3.8		0.0063		187.2		248.9						
7.129		369.1		0.647		1.2		0.0063		187.5		238.7						
7.227		358.3		0.632		2.5		0.0048		187.6		226.4						
7.324		348.7		0.615		1.2		0.0063		187.5		214.5						
7.422		341.3		0.603		1.2		0.0063		187.5		205.7						
7.520		335.7		0.580		1.2		0.0048		187.8		194.5						
7.617		326.5		0.577		1.2		0.0063		187.5		188.5						
7.715		317.4		0.552		2.5		0.0079		187.1		175.3						
7.813		306.5		0.542		1.2		0.0063		187.5		166.1						
7.910		294.8		0.512		1.2		0.0048		187.8		151.0						
8.008		284.8		0.510		0.0		0.0063		187.7		145.3						
8.105		272.6		0.496		2.5		0.0109		186.7		135.1						
8.203		259.1		0.468		-1.3		0.0063		187.9		121.3						
8.301		246.1		0.449		0.0		-0.0213		191.6		110.6						
8.398		229.6		0.441		-1.3		0.0063		187.9		101.2						
8.496		214.3		0.414		-2.6		0.0048		188.3		88.7						
8.594		201.7		0.388		-3.9		0.0063		188.3		78.4						
8.691		186.5		0.363		-1.3		0.0094		187.5		67.8						
8.789		174.3		0.357		0.0		0.0063		187.7		62.2						
8.887		160.9		0.334		-3.9		0.0033		188.7		53.7						
8.984		143.0		0.311		-2.6		0.0063		188.1		44.5						
9.082		130.4		0.279		-2.6		0.0048		188.3		36.4						
9.180		115.7		0.275		-1.3		0.0079		187.7		31.8						
9.277		104.8		0.246		-3.9		0.0048		188.5		25.7						
9.375		89.1		0.218		-2.6		0.0079		187.9		19.5						
9.473		73.9		0.195		-2.6		0.0048		188.3		14.4						
9.570		57.0		0.174		-3.9		0.0048		188.5		9.9						
9.668		39.6		0.157		-2.6		0.0048		188.3		6.2						
9.766		18.3		0.136		-3.9		0.0063		188.3		2.5						
9.863		0.4		0.107		-3.9		0.0048		188.5		0.0						
9.961		-14.8		0.078		-5.1		0.0033		188.9		-1.1						
10.059		-34.3		0.038		-5.1		0.0048		188.6		-1.3						
10.156		-50.4		0.034		-2.6		0.0079		187.9		-1.7						
10.254		-64.8		0.006		-2.6		0.0048		188.3		-0.4						
10.352		-84.3		-0.025		-1.3		-0.0044		189.4		2.1						
