Time ,E1,I1,AI8,AI7,Pm,P1
0,18.7,-0.575,1.4,0.0005,121.2,-10.8
0.098,36.5,-0.559,2.7,-0.0011,121.1,-20.4
0.195,57.4,-0.561,0.1,-0.0026,120.6,-32.2
0.293,78.3,-0.561,0.1,-0.0026,120.6,-43.9
0.391,96.1,-0.561,1.4,-0.0011,121,-53.9
0.488,114.3,-0.546,3.9,-0.0011,121.2,-62.4
0.586,133,-0.531,1.4,-0.0041,120.5,-70.7
0.684,150.9,-0.535,0.1,-0.0026,120.6,-80.8
0.781,169.1,-0.521,0.1,-0.0011,120.9,-88.1
0.879,185.2,-0.51,6.5,-0.0026,121.2,-94.5
0.977,197.4,-0.498,2.7,0.0005,121.3,-98.2
1.074,210.4,-0.512,1.4,-0.0026,120.8,-107.8
1.172,227.4,-0.481,0.1,-0.0041,120.4,-109.3
1.27,240.4,-0.483,0.1,-0.0011,120.9,-116.1
1.367,257,-0.475,2.7,0.0005,121.3,-121.9
1.465,271.7,-0.468,2.7,-0.0041,120.6,-127.2
1.563,282.2,-0.456,1.4,-0.0087,119.8,-128.6
1.66,292.6,-0.441,2.7,-0.0011,121.1,-129
1.758,307.4,-0.435,1.4,0.0005,121.2,-133.6
1.855,319.1,-0.414,1.4,-0.0041,120.5,-132
1.953,329.6,-0.418,1.4,-0.0026,120.8,-137.7
2.051,340.9,-0.418,1.4,-0.0011,121,-142.4
2.148,353.5,-0.393,2.7,-0.0026,120.9,-138.8
2.246,362.2,-0.391,1.4,-0.0041,120.5,-141.4
2.344,375.7,-0.363,0.1,-0.0026,120.6,-136.5
2.441,383.9,-0.357,2.7,0.0005,121.3,-137
2.539,396.1,-0.346,2.7,0.0005,121.3,-137.2
2.637,407.8,-0.334,2.7,-0.0026,120.9,-136.2
2.734,413.9,-0.323,-1.2,-0.0041,120.3,-133.8
2.832,422.6,-0.323,0.1,-0.0057,120.2,-136.7
2.93,436.5,-0.302,5.2,-0.0026,121.1,-132
3.027,446.5,-0.283,1.4,-0.0026,120.8,-126.6
3.125,454.3,-0.275,1.4,-0.0026,120.8,-125
3.223,467.4,-0.256,1.4,-0.0026,120.8,-119.7
3.32,477.4,-0.231,1.4,-0.0011,121,-110.3
3.418,483.9,-0.214,2.7,0.0005,121.3,-103.6
3.516,496.5,-0.204,3.9,-0.0041,120.7,-101.1
3.613,502.2,-0.183,2.7,-0.0026,120.9,-91.7
3.711,513.9,-0.168,2.7,-0.0026,120.9,-86.3
3.809,517.8,-0.134,1.4,-0.0026,120.8,-69.6
3.906,530.4,-0.13,1.4,-0.0041,120.5,-69.1
4.004,538.7,-0.124,1.4,-0.0026,120.8,-66.7
4.102,547,-0.092,2.7,-0.0026,120.9,-50.5
