Time,E1,I1,E2,I2,E3,I3,AI8,Pm,Torque,Category
0,176.5,-1.14,-361.3,-0.51,539.1,1.83,1012,319.2,3,Over Current
0.98,309.6,-0.76,-224.1,-1.05,540,1.77,1012,318.9,3,Over Current
1.95,418.7,-0.33,-68.2,-1.61,488.3,1.44,1014.5,319.9,3,Over Current
2.93,512.2,0.18,113.4,-1.89,400.4,1.09,1015.8,320.3,3,Over Current
3.91,532.6,0.74,263.2,-1.92,277.4,0.79,1009.4,318.4,3,Over Current
4.88,510.9,1.35,383.9,-1.66,134.3,0.4,1013.3,319.3,3,Over Current
5.86,443.5,1.72,479,-1.36,-35.2,-0.1,1014.5,319.5,3,Over Current
6.84,340.4,1.89,545.9,-1.03,-202.2,-0.64,1017.1,320.3,3,Over Current
7.81,194.3,1.92,523.3,-0.57,-323,-1.08,915,288.5,3,Over Current
8.79,43,1.55,481.7,-0.15,-434.3,-1.59,1019.7,321.6,3,Over Current
9.77,-137.8,1.2,384.8,0.37,-519.1,-1.81,1019.7,321.6,3,Over Current
10.74,-285.7,0.83,251.5,0.89,-534.3,-1.8,1017.1,321.2,3,Over Current
11.72,-400.4,0.44,103.8,1.5,-493,-1.5,1015.8,320.3,3,Over Current
12.7,-495.2,-0.07,-72.1,1.83,-415.7,-1.14,1020.9,322.5,3,Over Current
13.67,-542.2,-0.63,-233.2,1.93,-300.9,-0.84,1019.7,321.2,3,Over Current
14.65,-524.3,-1.22,-359.2,1.74,-160,-0.46,1019.7,322.1,3,Over Current
15.63,-457,-1.66,-458.2,1.43,0.4,0,1020.9,322.5,3,Over Current
16.6,-366.5,-1.87,-540.7,1.1,177,0.54,1020.9,322.9,3,Over Current
17.58,-231.3,-1.96,-542.9,0.64,311.3,0.97,1020.9,322.7,3,Over Current
18.56,-80.9,-1.6,-496.4,0.26,420.9,1.53,1020.9,322.5,3,Over Current
19.53,97,-1.27,-409.1,-0.28,508.3,1.78,1020.9,322.2,3,Over Current
20.51,260.9,-0.91,-279.7,-0.79,538.7,1.83,1022.2,322.9,3,Over Current
21.48,375.7,-0.5,-139,-1.39,512.6,1.6,1022.2,322.6,3,Over Current
22.46,470,-0.03,26.9,-1.79,446.5,1.22,1023.5,323.5,3,Over Current
23.44,545.2,0.51,202.4,-1.94,343.5,0.91,1020.9,322.5,3,Over Current
24.41,530.9,1.11,329.2,-1.79,202.6,0.58,1020.9,322.5,3,Over Current
25.39,477.4,1.6,430.8,-1.5,43,0.11,1023.5,323.3,3,Over Current
26.37,386.1,1.83,522.5,-1.21,-134.3,-0.47,1024.8,323.4,3,Over Current
27.34,265.2,2,550.3,-0.73,-278.7,-0.84,1020.9,322.2,3,Over Current
28.32,113.5,1.67,508.1,-0.37,-391.3,-1.47,1023.5,315.6,3,Over Current
29.3,-57.8,1.34,427.4,0.12,-482.6,-1.76,1020.9,322.4,3,Over Current
30.27,-231.3,1.01,307.5,0.69,-533,-1.87,1018.4,321.7,3,Over Current
31.25,-348.7,0.61,174.2,1.26,-514.8,-1.66,1018.4,321.2,3,Over Current
32.23,-449.6,0.15,9.6,1.72,-454.3,-1.32,1017.1,320.8,3,Over Current
33.2,-535.7,-0.37,-176.3,1.92,-357.8,-0.98,1023.5,323.5,3,Over Current
34.18,-537,-0.94,-311,1.85,-220.9,-0.65,1020.9,322.4,3,Over Current
35.16,-491.3,-1.55,-413.9,1.55,-73,-0.24,1018.4,321.7,3,Over Current
36.13,-408.7,-1.79,-507.3,1.25,100.4,0.3,1017.1,321.8,3,Over Current
37.11,-297,-1.95,-551.6,0.87,259.6,0.78,1018.4,322.2,3,Over Current
38.09,-143.9,-1.78,-519.9,0.45,376.1,1.3,1017.1,321.3,3,Over Current
39.06,18.3,-1.42,-453,-0.05,472.2,1.69,1017.1,321.5,3,Over Current
40.04,199.1,-1.08,-342.2,-0.55,544.3,1.87,1017.1,321.3,3,Over Current
41.02,325.7,-0.69,-209.3,-1.12,534.3,1.71,1015.8,321.1,3,Over Current
41.99,429.6,-0.28,-52.1,-1.64,483.5,1.39,1015.8,321.3,3,Over Current
42.97,522.6,0.26,135.1,-1.88,386.1,1.04,1014.5,320.4,3,Over Current
